COMPLIANCE MAPPING DB  —  ISO/IEC 42001:2023 | NIST AI RMF 1.0 | OWASP LLM Top 10 | EU AI Act 2024  |  122 questions × 4 frameworks,,,,,,,,,,,,,,
QID Code,Component Group,Question,Severity,"Max Risk
Score /100","Risk
Count","Compliance
Priority","ISO 42001
Clauses (Short)","NIST RMF
Functions (Short)","OWASP
References (Short)","EU AI Act
Articles (Short)","ISO/IEC 42001:2023
(Full Reference)","NIST AI RMF 1.0
(Full Reference)","OWASP LLM Top 10
(Full Reference)","EU AI Act 2024
(Full Reference)"
AR_88,Embeddings,"Do you run automated ""Fairness Audits"" on your transformed features to ensure cleaning scripts haven't inadvertently removed or skewed minority group data?",Medium,7.28,2,🟡 Medium,Annex A.8.5 | Clause 9.1,MEASURE 2.9 | MAP 5.2,LLM09 - Overreliance,Art. 10 (Data governance - bias examination) | Art. 9 (Risk management - bias as risk),"ISO/IEC 42001:2023 Annex A.8.5 (AI fairness and bias assessment), Clause 9.1 (Performance evaluation)","NIST AI RMF 1.0 MEASURE 2.9 (AI bias and fairness testing), MAP 5.2 (AI bias risk assessment)",OWASP LLM Top 10: LLM09 - Overreliance (bias in preprocessing causing unsafe outputs),"EU AI Act Art. 10 (Data governance - bias examination), Art. 9 (Risk management - bias as risk)"
AR_89,Embeddings,"Have you tested if your transformed embeddings can be mathematically ""reversed"" to reconstruct the original sensitive PII?",High,8.04,2,🟠 High,Annex A.10.1 | Annex A.7.3,MEASURE 2.4 | MEASURE 2.5,LLM06 - Sensitive Information Disclosure,Art. 10 (Data governance - personal data in embeddings) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.10.1 (Privacy protection in embeddings), Annex A.7.3 (Data quality controls)","NIST AI RMF 1.0 MEASURE 2.4 (privacy risk in AI outputs), MEASURE 2.5 (AI system security testing)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (embedding inversion attack testing),"EU AI Act Art. 10 (Data governance - personal data in embeddings), Art. 9 (Risk management)"
AR_90,Data Processing,"Is every ""missing value"" filled in by your processing logic tagged with metadata, so the model knows it is making a decision based on ""Synthetic"" data?",Medium,5.46,2,🟡 Medium,Annex A.7.3 | Annex A.7.5,MEASURE 2.3 | MAP 1.6,LLM09 - Overreliance,Art. 10 (Data governance - data quality metadata) | Art. 13 (Transparency requirements),"ISO/IEC 42001:2023 Annex A.7.3 (Data quality metadata), Annex A.7.5 (Data provenance tracking)","NIST AI RMF 1.0 MEASURE 2.3 (AI data traceability), MAP 1.6 (AI data transparency)",OWASP LLM Top 10: LLM09 - Overreliance (transparency of synthetic data in AI decisions),"EU AI Act Art. 10 (Data governance - data quality metadata), Art. 13 (Transparency requirements)"
AR_91,Data Processing,Is the specific version of the transformation code (ETL) cryptographically linked to the specific version of the model it produced?,Medium,5.74,1,🟡 Medium,Annex A.7.5 | Clause 9.1,MEASURE 2.3 | MANAGE 4.2,LLM03 - Supply Chain Vulnerabilities,Art. 12 (Record-keeping - model and pipeline traceability) | Art. 18 (Documentation),"ISO/IEC 42001:2023 Annex A.7.5 (Data and code provenance), Clause 9.1 (AI system auditability)","NIST AI RMF 1.0 MEASURE 2.3 (AI pipeline integrity), MANAGE 4.2 (AI system documentation)",OWASP LLM Top 10: LLM03 - Supply Chain Vulnerabilities (ETL code integrity verification),"EU AI Act Art. 12 (Record-keeping - model and pipeline traceability), Art. 18 (Documentation)"
AR_92,Data Processing,"Does your pipeline include an ""Input Sanitization"" layer that strips out hidden characters or noise designed to trigger an adversarial attack?",High,9.7,2,🟠 High,Clause 8.4 | Annex A.8.2,MEASURE 2.5 | MANAGE 2.2,LLM01 - Prompt Injection,Art. 15 (Robustness and cybersecurity) | Art. 9 (Risk management system),"ISO/IEC 42001:2023 Clause 8.4 (AI input validation controls), Annex A.8.2 (System integrity)","NIST AI RMF 1.0 MEASURE 2.5 (AI adversarial input robustness), MANAGE 2.2 (AI threat mitigation)",OWASP LLM Top 10: LLM01 - Prompt Injection (unicode/adversarial character sanitization),"EU AI Act Art. 15 (Robustness and cybersecurity), Art. 9 (Risk management system)"
AR_93,LLM / Model Layer,"Do you monitor for ""Information Entropy"" to ensure that your transformation (like PCA or compression) isn't stripping away the nuances required for safe decision-making?",Medium,6.03,2,🟡 Medium,Annex A.7.3 | Annex A.8.5,MEASURE 2.9 | MAP 2.2,LLM09 - Overreliance,Art. 10 (Data governance - representativeness) | Art. 15 (Accuracy requirements),"ISO/IEC 42001:2023 Annex A.7.3 (Data quality and representativeness), Annex A.8.5 (AI fairness)","NIST AI RMF 1.0 MEASURE 2.9 (AI model performance and feature integrity), MAP 2.2 (AI data risks)",OWASP LLM Top 10: LLM09 - Overreliance (information loss causing unsafe AI decisions),"EU AI Act Art. 10 (Data governance - representativeness), Art. 15 (Accuracy requirements)"
AR_94,Feedback & Continuous Learning,Can you automatically trace a specific AI output back through the model version to the exact raw data used to train it?,High,8.65,2,🟠 High,Annex A.7.5 | Clause 9.1,MEASURE 2.3 | MANAGE 4.2,LLM03 - Supply Chain Vulnerabilities,Art. 12 (Record-keeping - output traceability) | Art. 13 (Transparency and explainability),"ISO/IEC 42001:2023 Annex A.7.5 (AI data provenance), Clause 9.1 (AI system audit capability)","NIST AI RMF 1.0 MEASURE 2.3 (AI data and model lineage), MANAGE 4.2 (AI traceability)",OWASP LLM Top 10: LLM03 - Supply Chain Vulnerabilities (end-to-end pipeline auditability),"EU AI Act Art. 12 (Record-keeping - output traceability), Art. 13 (Transparency and explainability)"
AR_95,Data Processing,"Does the catalog automatically flag ""Stale Metadata"" if the underlying data source has changed its schema or volume in the last 24 hours?",Medium,6.59,2,🟡 Medium,Annex A.7.3 | Clause 9.1,MEASURE 2.3 | MANAGE 2.2,LLM09 - Overreliance,Art. 10 (Data governance - data currency requirements) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.7.3 (Data quality monitoring), Clause 9.1 (Continuous AI monitoring)","NIST AI RMF 1.0 MEASURE 2.3 (AI data currency), MANAGE 2.2 (AI data quality incident response)",OWASP LLM Top 10: LLM09 - Overreliance (stale metadata causing outdated AI outputs),"EU AI Act Art. 10 (Data governance - data currency requirements), Art. 9 (Risk management)"
AR_96,Data Processing,"Is the ""Original Purpose"" of data collection (e.g., Marketing vs. Support) hard-coded into the metadata for every dataset?",Medium,7.28,2,🟡 Medium,Annex A.7.2 | Annex A.10.1,MAP 1.6 | GOVERN 1.4,LLM06 - Sensitive Information Disclosure,Art. 10 (Data governance - purpose specification) | Art. 5,"ISO/IEC 42001:2023 Annex A.7.2 (Data acquisition - purpose limitation), Annex A.10.1 (Privacy)","NIST AI RMF 1.0 MAP 1.6 (AI data consent and purpose), GOVERN 1.4 (AI governance policies)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (purpose-limited data use controls),"EU AI Act Art. 10 (Data governance - purpose specification), GDPR Art. 5 purpose limitation by reference"
AR_97,Data Processing,"Is every AI-ready data asset assigned to a human ""Data Steward"" who is alerted when the asset's quality score drops?",Medium,5.19,2,🟡 Medium,Annex A.2.2 | Clause 9.1,GOVERN 1.1 | MANAGE 2.2,LLM09 - Overreliance,Art. 14 (Human oversight - designated responsibility) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.2.2 (AI roles and responsibilities), Clause 9.1 (Performance monitoring)","NIST AI RMF 1.0 GOVERN 1.1 (AI accountability roles), MANAGE 2.2 (human oversight in AI operations)",OWASP LLM Top 10: LLM09 - Overreliance (human stewardship to prevent AI data degradation),"EU AI Act Art. 14 (Human oversight - designated responsibility), Art. 9 (Risk management)"
AR_98,Data Processing,"Does the catalog use AI to automatically discover and tag ""Shadow PII"" (hidden sensitive info) that humans might have missed?",High,10.2,2,🟠 High,Annex A.10.1 | Annex A.7.3,MAP 1.6 | MEASURE 2.4,LLM06 - Sensitive Information Disclosure,Art. 10 (Data governance - personal data identification) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.10.1 (Privacy protection - PII discovery), Annex A.7.3 (Data quality)","NIST AI RMF 1.0 MAP 1.6 (AI privacy risk identification), MEASURE 2.4 (privacy impact assessment)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (shadow PII in training and RAG data),"EU AI Act Art. 10 (Data governance - personal data identification), Art. 9 (Risk management)"
AR_99,Data Processing,"Are ""Usage Policies"" (e.g., ""Do not use for Credit Scoring"") embedded in the metadata and programmatically enforced?",Medium,7.28,1,🟡 Medium,Annex A.7.2 | Clause 8.4,GOVERN 1.2 | MAP 1.6,LLM08 - Excessive Agency,Art. 9 (Risk management - policy controls) | Art. 17 (Quality management system),"ISO/IEC 42001:2023 Annex A.7.2 (Data governance policies), Clause 8.4 (Policy-as-code controls)","NIST AI RMF 1.0 GOVERN 1.2 (AI policy enforcement mechanisms), MAP 1.6 (data use constraints)",OWASP LLM Top 10: LLM08 - Excessive Agency (policy enforcement preventing unauthorized data use),"EU AI Act Art. 9 (Risk management - policy controls), Art. 17 (Quality management system)"
AR_100,Monitoring & Evaluation,"Do you have real-time alerts that trigger when the statistical distribution of your data ""drifts"" (changes) from the original training set?",High,8.78,2,🟠 High,Clause 9.1 | Annex A.8.2,MEASURE 2.7 | MANAGE 2.2,LLM09 - Overreliance,Art. 9 (Risk management - continuous monitoring) | Art. 15 (Accuracy over time),"ISO/IEC 42001:2023 Clause 9.1 (AI performance monitoring), Annex A.8.2 (AI system integrity monitoring)","NIST AI RMF 1.0 MEASURE 2.7 (AI distribution shift detection), MANAGE 2.2 (AI drift response)",OWASP LLM Top 10: LLM09 - Overreliance (data drift causing degraded AI reliability),"EU AI Act Art. 9 (Risk management - continuous monitoring), Art. 15 (Accuracy over time)"
AR_101,Feedback & Continuous Learning,Can you programmatically prove—within 72 hours—exactly which data was used to train a specific model if a regulator audits you?,Medium,7.83,2,🟡 Medium,Annex A.7.5 | Clause 9.1,MEASURE 2.3 | MANAGE 4.2,LLM03 - Supply Chain Vulnerabilities,Art. 12 (Record-keeping obligations for high-risk AI) | Art. 18 (Documentation retention),"ISO/IEC 42001:2023 Annex A.7.5 (AI data provenance), Clause 9.1 (AI system auditability)","NIST AI RMF 1.0 MEASURE 2.3 (AI data lineage for audit), MANAGE 4.2 (AI regulatory documentation)",OWASP LLM Top 10: LLM03 - Supply Chain Vulnerabilities (training data auditability),"EU AI Act Art. 12 (Record-keeping obligations for high-risk AI), Art. 18 (Documentation retention)"
AR_102,Data Processing,"Do you have a ""Quality Gate"" that prevents AI-generated (synthetic) data from accidentally ""looping back"" into your training sets?",High,9.7,2,🟠 High,Annex A.7.3 | Clause 8.5,MEASURE 2.3 | MAP 3.5,LLM04 - Data and Model Poisoning,Art. 10 (Data governance - training data quality) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.7.3 (Data quality - synthetic data controls), Clause 8.5 (AI validation)","NIST AI RMF 1.0 MEASURE 2.3 (AI data integrity), MAP 3.5 (synthetic data risk identification)",OWASP LLM Top 10: LLM04 - Data and Model Poisoning (synthetic data feedback loop contamination),"EU AI Act Art. 10 (Data governance - training data quality), Art. 9 (Risk management)"
AR_103,Monitoring & Evaluation,"Is there a mandatory human review for any data quality ""Exceptions"" before that data is allowed to enter a high-risk model?",Medium,6.92,2,🟡 Medium,Annex A.2.2 | Clause 8.4,GOVERN 1.1 | MANAGE 2.2,LLM09 - Overreliance,Art. 14 (Human oversight for high-risk AI) | Art. 9 (Risk management - human review),"ISO/IEC 42001:2023 Annex A.2.2 (Human oversight roles), Clause 8.4 (AI operational controls)","NIST AI RMF 1.0 GOVERN 1.1 (human oversight policy), MANAGE 2.2 (human-in-the-loop for exceptions)",OWASP LLM Top 10: LLM09 - Overreliance (human review preventing AI decisions on corrupt data),"EU AI Act Art. 14 (Human oversight for high-risk AI), Art. 9 (Risk management - human review)"
AR_104,Data Processing,"Are your data access policies ""Dynamic"" (checking user intent and risk level) rather than just ""Static"" (checking usernames)?",Medium,7.65,2,🟡 Medium,Annex A.9.3 | Clause 6.1.2,GOVERN 1.2 | MANAGE 2.4,LLM08 - Excessive Agency,Art. 9 (Risk management - adaptive controls) | Art. 15 (Cybersecurity),"ISO/IEC 42001:2023 Annex A.9.3 (Dynamic access control for AI), Clause 6.1.2 (contextual risk assessment)","NIST AI RMF 1.0 GOVERN 1.2 (adaptive access policies), MANAGE 2.4 (AI runtime access controls)",OWASP LLM Top 10: LLM08 - Excessive Agency (static permissions enabling over-access by agents),"EU AI Act Art. 9 (Risk management - adaptive controls), Art. 15 (Cybersecurity)"
AR_105,Guardrails / Safety,"Do you conduct ""Adversarial Bias Testing"" on your data quality rules to ensure they aren't accidentally deleting minority group data?",Medium,7.65,2,🟡 Medium,Annex A.8.5 | Clause 9.1,MEASURE 2.9 | MAP 5.2,LLM09 - Overreliance,Art. 10 (Data governance - bias examination and testing) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.8.5 (AI bias and fairness testing), Clause 9.1 (AI evaluation)","NIST AI RMF 1.0 MEASURE 2.9 (AI bias testing), MAP 5.2 (bias risk in data quality rules)",OWASP LLM Top 10: LLM09 - Overreliance (adversarial testing for discriminatory data filtering),"EU AI Act Art. 10 (Data governance - bias examination and testing), Art. 9 (Risk management)"
AR_106,Data Processing,"Do your data tags (e.g., ""Secret,"" ""PII"") stay attached to the data even when it is moved between different cloud systems or APIs?",High,9.7,2,🟠 High,Annex A.7.2 | Annex A.10.1,GOVERN 1.2 | MAP 1.6,LLM06 - Sensitive Information Disclosure,Art. 10 (Data governance - persistent classification) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.7.2 (Data governance across systems), Annex A.10.1 (Privacy throughout lifecycle)","NIST AI RMF 1.0 GOVERN 1.2 (data classification policies), MAP 1.6 (data sensitivity tracking)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (tag loss causing unprotected data transfer),"EU AI Act Art. 10 (Data governance - persistent classification), Art. 9 (Risk management)"
AR_107,Application Layer,"Do you enforce ""Identity-Based Decryption"" where data is only decrypted when a verified user/service calls the API, rather than having it ""ready"" in plaintext?",High,9.7,2,🟠 High,Annex A.9.3 | Annex A.9.4,MANAGE 2.4 | GOVERN 1.2,LLM06 - Sensitive Information Disclosure,Art. 15 (Cybersecurity measures) | Art. 9 (Risk management system),"ISO/IEC 42001:2023 Annex A.9.3 (AI access control), Annex A.9.4 (Cryptographic controls)","NIST AI RMF 1.0 MANAGE 2.4 (AI data confidentiality), GOVERN 1.2 (cryptographic access policies)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (identity-gated decryption at API),"EU AI Act Art. 15 (Cybersecurity measures), Art. 9 (Risk management system)"
AR_108,Tools & API Integrations,"Do your AI Agents have their own unique, ""Least-Privilege"" API keys that restrict them to specific data rows rather than the entire database?",Critical,12.13,2,🔴 Immediate,Annex A.9.3 | Annex A.2.2,GOVERN 1.2 | MANAGE 2.4,LLM08 - Excessive Agency,Art. 9 (Risk management - least privilege principle) | Art. 15 (Cybersecurity),"ISO/IEC 42001:2023 Annex A.9.3 (AI agent access control), Annex A.2.2 (AI agent roles)","NIST AI RMF 1.0 GOVERN 1.2 (least privilege for AI agents), MANAGE 2.4 (AI agent access controls)",OWASP LLM Top 10: LLM08 - Excessive Agency (over-privileged AI agent credentials),"EU AI Act Art. 9 (Risk management - least privilege principle), Art. 15 (Cybersecurity)"
AR_109,Tools & API Integrations,"Does your API automatically throttle or block requests if it detects an unusual pattern of ""Data Scraping"" (e.g., thousands of queries in a few seconds)?",High,9.23,2,🟠 High,Annex A.9.3 | Clause 8.4,MEASURE 2.7 | MANAGE 2.2,LLM10 - Model Theft,Art. 15 (Cybersecurity - API abuse prevention) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.9.3 (AI data access controls), Clause 8.4 (AI operational security)","NIST AI RMF 1.0 MEASURE 2.7 (AI system resilience), MANAGE 2.2 (AI data exfiltration response)",OWASP LLM Top 10: LLM10 - Model Theft (scraping-based data extraction via API),"EU AI Act Art. 15 (Cybersecurity - API abuse prevention), Art. 9 (Risk management)"
AR_110,Guardrails / Safety,"Do you have a ""Prompt Firewall"" at the API level that inspects every request for ""Indirect Prompt Injections"" before it hits the data?",Critical,15.94,2,🔴 Immediate,Clause 8.4 | Annex A.8.2,MEASURE 2.5 | MANAGE 2.2,LLM01 - Prompt Injection,Art. 9 (Risk management) | Art. 15 (Cybersecurity and robustness for high-risk AI),"ISO/IEC 42001:2023 Clause 8.4 (AI input validation), Annex A.8.2 (AI system integrity controls)","NIST AI RMF 1.0 MEASURE 2.5 (AI adversarial input robustness), MANAGE 2.2 (AI threat response)",OWASP LLM Top 10: LLM01 - Prompt Injection (API-layer prompt firewall),"EU AI Act Art. 9 (Risk management), Art. 15 (Cybersecurity and robustness for high-risk AI)"
AR_111,Tools & API Integrations,"Are your API tokens ""Short-Lived"" (expiring in minutes) and restricted to specific IP addresses or geographic regions?",High,9.7,2,🟠 High,Annex A.9.3 | Annex A.9.4,GOVERN 1.2 | MANAGE 2.4,LLM08 - Excessive Agency,Art. 15 (Cybersecurity measures) | Art. 9 (Risk management system),"ISO/IEC 42001:2023 Annex A.9.3 (AI access control), Annex A.9.4 (Cryptographic token controls)","NIST AI RMF 1.0 GOVERN 1.2 (credential hygiene policies), MANAGE 2.4 (AI access token security)",OWASP LLM Top 10: LLM08 - Excessive Agency (stolen token abuse prevention via short-lived credentials),"EU AI Act Art. 15 (Cybersecurity measures), Art. 9 (Risk management system)"
AR_112,Tools & API Integrations,"Do you use automated tools to scan for ""Ghost"" or ""Zombie"" APIs—old endpoints that developers forgot to turn off but still have data access?",High,8.04,2,🟠 High,Annex A.6.1 | Clause 8.4,GOVERN 1.2 | MANAGE 2.2,LLM07 - Insecure Plugin Design,Art. 9 (Risk management - legacy system risks) | Art. 15 (Cybersecurity),"ISO/IEC 42001:2023 Annex A.6.1 (AI system lifecycle - decommissioning), Clause 8.4 (operational controls)","NIST AI RMF 1.0 GOVERN 1.2 (API governance policies), MANAGE 2.2 (AI attack surface reduction)","OWASP LLM Top 10: LLM07 - Insecure Plugin Design (forgotten/legacy API endpoints), OWASP API Security Top 10: API9 - Improper Inventory Management","EU AI Act Art. 9 (Risk management - legacy system risks), Art. 15 (Cybersecurity)"
AR_113,Tools & API Integrations,"Does the API monitor where the data is being sent, blocking any attempts to send large datasets to unauthorized external IP addresses?",High,10.2,2,🟠 High,Annex A.9.3 | Clause 8.4,MANAGE 2.4 | MEASURE 2.10,LLM06 - Sensitive Information Disclosure,Art. 15 (Cybersecurity - data egress controls) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.9.3 (AI data egress controls), Clause 8.4 (AI operational security)","NIST AI RMF 1.0 MANAGE 2.4 (AI data exfiltration prevention), MEASURE 2.10 (AI outbound monitoring)",OWASP LLM Top 10: LLM06 - Sensitive Information Disclosure (outbound data exfiltration via API),"EU AI Act Art. 15 (Cybersecurity - data egress controls), Art. 9 (Risk management)"
AR_114,Monitoring & Evaluation,"Do you have automated alerts for ""Input Drift"" (when the real-world data starts looking statistically different from your training data)?",High,8.78,2,🟠 High,Clause 9.1 | Annex A.8.2,MEASURE 2.7 | MANAGE 2.2,LLM09 - Overreliance,Art. 9 (Risk management - continuous monitoring) | Art. 15 (Accuracy over operational lifetime),"ISO/IEC 42001:2023 Clause 9.1 (AI performance monitoring), Annex A.8.2 (AI system integrity monitoring)","NIST AI RMF 1.0 MEASURE 2.7 (AI distribution shift detection), MANAGE 2.2 (AI drift incident response)",OWASP LLM Top 10: LLM09 - Overreliance (undetected drift causing AI overconfidence),"EU AI Act Art. 9 (Risk management - continuous monitoring), Art. 15 (Accuracy over operational lifetime)"
AR_115,Feedback & Continuous Learning,"Can your monitoring tools correlate a model's ""bad"" output back to a specific upstream data transformation or ingestion error?",Medium,6.92,2,🟡 Medium,Annex A.7.5 | Clause 9.1,MEASURE 2.3 | MANAGE 4.2,LLM09 - Overreliance,Art. 12 (Record-keeping - traceability for incident investigation) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.7.5 (AI data and pipeline provenance), Clause 9.1 (Root cause analysis)","NIST AI RMF 1.0 MEASURE 2.3 (AI pipeline traceability), MANAGE 4.2 (AI incident forensics)",OWASP LLM Top 10: LLM09 - Overreliance (observability for AI error root cause analysis),"EU AI Act Art. 12 (Record-keeping - traceability for incident investigation), Art. 9 (Risk management)"
AR_116,Monitoring & Evaluation,"Do you monitor ""Token Velocity"" and cost-per-resolution in real-time to detect recursive agent loops or ""Retry Storms""?",Medium,6.59,2,🟡 Medium,Clause 8.4 | Annex A.6.1,MEASURE 2.7 | MANAGE 2.2,LLM04 - Model Denial of Service,Art. 9 (Risk management - agentic system controls) | Art. 15 (Robustness requirements),"ISO/IEC 42001:2023 Clause 8.4 (AI agent operational controls), Annex A.6.1 (performance monitoring)","NIST AI RMF 1.0 MEASURE 2.7 (AI system resilience - loop detection), MANAGE 2.2 (AI cost anomaly response)",OWASP LLM Top 10: LLM04 - Model Denial of Service (recursive agent loop and retry storm detection),"EU AI Act Art. 9 (Risk management - agentic system controls), Art. 15 (Robustness requirements)"
AR_117,Knowledge Base,"Does your system alert you when the ""Ground Truth"" data in your Vector Database (RAG) is older than your business's decision cycle?",Medium,6.92,2,🟡 Medium,Annex A.7.3 | Clause 9.1,MEASURE 2.3 | MANAGE 2.2,LLM09 - Overreliance,Art. 10 (Data governance - data currency) | Art. 9 (Risk management system),"ISO/IEC 42001:2023 Annex A.7.3 (Data currency and quality), Clause 9.1 (AI performance monitoring)","NIST AI RMF 1.0 MEASURE 2.3 (AI knowledge currency), MANAGE 2.2 (stale data incident response)",OWASP LLM Top 10: LLM09 - Overreliance (stale RAG data causing unsafe AI outputs),"EU AI Act Art. 10 (Data governance - data currency), Art. 9 (Risk management system)"
AR_118,Orchestration / Agents,"Do you monitor the ""Intent"" of autonomous agents, flagging when an agent's actions deviate from its predefined ""Policy Envelope""?",High,10.2,2,🟠 High,Annex A.2.2 | Clause 8.4,GOVERN 1.1 | MEASURE 2.10,LLM08 - Excessive Agency,Art. 14 (Human oversight of autonomous AI agents) | Art. 9 (Risk management),"ISO/IEC 42001:2023 Annex A.2.2 (AI agent oversight roles), Clause 8.4 (AI operational controls)","NIST AI RMF 1.0 GOVERN 1.1 (AI agent accountability), MEASURE 2.10 (AI agent behaviour monitoring)",OWASP LLM Top 10: LLM08 - Excessive Agency (agent intent monitoring and policy envelope enforcement),"EU AI Act Art. 14 (Human oversight of autonomous AI agents), Art. 9 (Risk management)"
AR_119,Feedback & Continuous Learning,"Do you automatically run a ""Gold Standard"" test suite against your pipeline every hour to ensure updates haven't introduced new biases?",Medium,6.92,2,🟡 Medium,Clause 9.1 | Annex A.8.5,MEASURE 2.9 | MANAGE 2.2,LLM09 - Overreliance,Art. 9 (Risk management - continuous testing) | Art. 15 (Accuracy and reliability requirements),"ISO/IEC 42001:2023 Clause 9.1 (Continuous AI evaluation), Annex A.8.5 (AI fairness testing)","NIST AI RMF 1.0 MEASURE 2.9 (AI bias detection - continuous testing), MANAGE 2.2 (AI regression response)",OWASP LLM Top 10: LLM09 - Overreliance (automated testing preventing silent AI degradation),"EU AI Act Art. 9 (Risk management - continuous testing), Art. 15 (Accuracy and reliability requirements)"
AR_120,Monitoring & Evaluation,"Is your AI data monitoring integrated into your central IT ""Single Pane of Glass"" (e.g., OpenTelemetry) rather than sitting in a siloed tool?",Medium,5.19,2,🟡 Medium,Clause 9.1 | Annex A.9.2,MEASURE 2.7 | GOVERN 1.1,LLM09 - Overreliance,Art. 12 (Record-keeping - integrated logging) | Art. 9 (Risk management - holistic monitoring),"ISO/IEC 42001:2023 Clause 9.1 (Integrated AI monitoring), Annex A.9.2 (AI system observability)","NIST AI RMF 1.0 MEASURE 2.7 (unified AI observability), GOVERN 1.1 (integrated AI governance oversight)",OWASP LLM Top 10: LLM09 - Overreliance (centralized monitoring preventing siloed AI risk blind spots),"EU AI Act Art. 12 (Record-keeping - integrated logging), Art. 9 (Risk management - holistic monitoring)"
AR_121,Monitoring & Evaluation,"Do your AI accelerators have mitigations against ""GATEBLEED"" or similar side-channel attacks that leak training data via power-gating fluctuations?",Medium,5.64,2,🟡 Medium,Annex A.9.4 | Clause 8.4,MEASURE 2.5 | MANAGE 2.4,LLM10 - Model Theft,Art. 15 (Cybersecurity - hardware-level protections for high-risk AI systems),"ISO/IEC 42001:2023 Annex A.9.4 (Hardware security controls for AI), Clause 8.4 (AI physical security)","NIST AI RMF 1.0 MEASURE 2.5 (AI hardware security testing), MANAGE 2.4 (AI infrastructure protection)",OWASP LLM Top 10: LLM10 - Model Theft (hardware side-channel leakage of model weights/training data),EU AI Act Art. 15 (Cybersecurity - hardware-level protections for high-risk AI systems)
AR_122,Monitoring & Evaluation,Have you allocated at least 75% of your compute budget for Inference (serving) rather than just Training?,Low,3.29,1,🟢 Low,Clause 7.1 | Annex A.6.1,GOVERN 1.4 | MAP 2.3,LLM04 - Model Denial of Service,Art. 9 (Risk management - operational resource planning) | Art. 15 (AI system availability),"ISO/IEC 42001:2023 Clause 7.1 (Resources for AI operations), Annex A.6.1 (AI system performance planning)","NIST AI RMF 1.0 GOVERN 1.4 (AI resource governance), MAP 2.3 (AI operational cost and resource risks)",OWASP LLM Top 10: LLM04 - Model Denial of Service (inference resource starvation from training over-allocation),"EU AI Act Art. 9 (Risk management - operational resource planning), Art. 15 (AI system availability)"
AR_123,Monitoring & Evaluation,"If your cloud provider faces a 3-month GPU shortage (like the ""2025 Crunch""), can you switch to an alternative cluster or on-prem hardware in <48 hours?",Medium,7.28,2,🟡 Medium,Clause 8.6 | Annex A.6.1,MEASURE 2.7 | MANAGE 2.2,LLM04 - Model Denial of Service,Art. 9 (Risk management - continuity) | Art. 15 (Robustness and availability requirements),"ISO/IEC 42001:2023 Clause 8.6 (AI system business continuity), Annex A.6.1 (AI resilience planning)","NIST AI RMF 1.0 MEASURE 2.7 (AI system resilience and recovery), MANAGE 2.2 (AI continuity planning)",OWASP LLM Top 10: LLM04 - Model Denial of Service (single provider dependency risk),"EU AI Act Art. 9 (Risk management - continuity), Art. 15 (Robustness and availability requirements)"
AR_124,Guardrails / Safety,"Does your compute layer have hardware-level mitigations against power-fluctuation attacks (Side-Channel) that can ""leak"" training data?",Medium,5.64,2,🟡 Medium,Annex A.9.4 | Clause 8.4,MEASURE 2.5 | MANAGE 2.4,LLM10 - Model Theft,Art. 15 (Cybersecurity - hardware security measures for high-risk AI),"ISO/IEC 42001:2023 Annex A.9.4 (Hardware and cryptographic security for AI), Clause 8.4 (AI security controls)","NIST AI RMF 1.0 MEASURE 2.5 (AI hardware security), MANAGE 2.4 (AI asset protection from physical attacks)",OWASP LLM Top 10: LLM10 - Model Theft (power-based side-channel attacks on training data),EU AI Act Art. 15 (Cybersecurity - hardware security measures for high-risk AI)
AR_125,Monitoring & Evaluation,"Are you using ""Dynamic GPU Partitioning"" (sharing one GPU for many small tasks) rather than locking a full GPU for every job?",Medium,5.46,2,🟡 Medium,Clause 7.1 | Annex A.6.1,GOVERN 1.4 | MAP 2.3,LLM04 - Model Denial of Service,Art. 9 (Risk management - resource efficiency) | Art. 15 (Robustness requirements),"ISO/IEC 42001:2023 Clause 7.1 (AI resource management), Annex A.6.1 (AI system performance optimization)","NIST AI RMF 1.0 GOVERN 1.4 (AI resource governance), MAP 2.3 (compute resource risk assessment)",OWASP LLM Top 10: LLM04 - Model Denial of Service (GPU resource contention and side-channel isolation),"EU AI Act Art. 9 (Risk management - resource efficiency), Art. 15 (Robustness requirements)"
