QID,Question_Text,Source_Sheet
AR_264,"Rate the maturity of your Are mechanisms in place to detect and govern shadow datasets — datasets used by AI teams outside formal registration, approval, or governance controls — including a defined process for retrospective registration, risk assessment, and remediation of any shadow datasets identified.",MAIN QUESTIONS
AR_265,Are adversarial drift scenarios—such as slow-burn data poisoning or coordinated concept shifts—actively simulated to test the sensitivity and response time of the monitoring infrastructure?,MAIN QUESTIONS
AR_266,"Are automated circuit breakers configured within the retraining pipeline to immediately halt model promotion if catastrophic forgetting, severe performance degradation, or newly introduced bias exceeds predefined tolerance thresholds?",MAIN QUESTIONS
AR_267,"For cross-border or cross-jurisdictional data transfers used in AI systems, are the legal basis, applicable regulatory restrictions, and transfer safeguards formally documented and periodically reviewed to confirm ongoing compliance?",MAIN QUESTIONS
AR_268,"Does the organization apply data minimization principles to AI system design by formally restricting dataset size, feature inclusion, and attribute retention to what is demonstrably necessary for the defined AI purpose — and are these restrictions documented and subject to review when the AI purpose changes?",MAIN QUESTIONS
AR_269,"What percentage of AI systems where human labeling or rlhf is used, has the organization defined quality standards, and does it systematically track human-ai disagreements to evaluate annotator error rates and mitigate labeling bias?",MAIN QUESTIONS
AR_270,"When integrating or fine-tuning third-party foundation or pretrained models, has the organization conducted a training data risk assessment covering dataset lineage, provenance gaps, demographic underrepresentation, labeling quality, contamination risks — including personally identifiable information and copyright exposure — and declared training data limitations?",MAIN QUESTIONS
AR_271,"Has the organization assessed and documented how data subject rights — including access, correction, deletion, and objection — may impact AI training datasets, model retraining obligations, or the technical feasibility of removing individual data from trained model weights; and are findings reviewed and updated when relevant regulations or model architectures change?",MAIN QUESTIONS
AR_272,"Has the organization conducted a formal purpose compatibility assessment to confirm that using previously collected, sensitive, or HR data for AI training complies with explicit consent, lawful basis requirements, and cross-border transfer obligations?",MAIN QUESTIONS
AR_273,"Are access events to AI training, validation, and testing datasets, feature stores, and model artifacts logged with sufficient detail, securely retained for a defined period, and periodically reviewed to detect unauthorized or policy-violating access?",MAIN QUESTIONS
AR_274,"Has the organization defined governance criteria for selecting, validating, and bias-evaluating benchmark or evaluation datasets used to assess AI system performance, fairness, safety, or regulatory readiness — and are these criteria applied prior to deployment and at each material reassessment?",MAIN QUESTIONS
AR_275,"For AI systems using retrieval-augmented generation (RAG), dynamic retrieval, vector databases, or external document stores, are governance controls defined and implemented covering retrieval corpus curation, content provenance verification, update governance, bias validation, access controls, and output filtering to prevent injection of unauthorised or harmful content?",MAIN QUESTIONS
AR_276,"Has the organization implemented controls to ensure that users are informed when they are interacting with an AI system rather than a human, and that AI-generated content is labelled as such — including disclosure standards for text, image, audio, and video outputs?",MAIN QUESTIONS
AR_277,"Where AI systems operate with significant autonomy or influence high-stakes decisions, has the organization defined and communicated the boundaries of AI decision-making authority — including the criteria under which human review is triggered and the mechanism by which affected parties may request escalation?",MAIN QUESTIONS
AR_278,"Rate the maturity of your established an AI-specific Acceptable Use Policy (AUP) defining permitted uses, accompanied by a documented consequence framework formally integrated into HR disciplinary procedures.",MAIN QUESTIONS
AR_279,"Has the organization defined a formal policy for managing AI-related IP, encompassing ownership of outputs, training data rights, and conducting formal legal reviews of AI development activities?",MAIN QUESTIONS
AR_280,"Has the organization identified AI-related legal and regulatory obligations across all operating jurisdictions—and are processes in place to continuously monitor horizon developments, integrate these requirements directly into AI impact assessments, and update controls accordingly?",MAIN QUESTIONS
AR_281,"Where third-party or foundation models are deployed, has the organization determined which user disclosure obligations remain its responsibility, identified gaps in vendor-provided documentation, and incorporated AI transparency obligations into supplier contracts?",MAIN QUESTIONS
AR_282,"Has the organization established accessible, confidential incident-reporting mechanisms (with anti-retaliation protections) for users and staff to report adverse AI impacts, and are processes in place for logging, investigating, and conducting trend analysis?",MAIN QUESTIONS
AR_283,"Where AI influences significant rights or financial outcomes, has the organization established processes to provide meaningful, plain-language explanations of those decisions, whilst actively testing UX flows to prevent 'dark patterns' that might manipulate user choices?",MAIN QUESTIONS
AR_284,"Has the organization maintained a formal AI incident communication plan with severity-based escalation tiers, explicitly designating roles, responsibilities, and named authorities across the enterprise?",MAIN QUESTIONS
AR_285,"Has the organization defined AI-specific criteria for external reportability—including regulatory notification timelines, harm-severity thresholds, and a documented process for timely notification of materially affected users?",MAIN QUESTIONS
AR_286,"Has the organization established disclosure standards that communicate, in accessible language, the degree of system autonomy, the level of human oversight applied to AI-driven outputs, the party responsible for the system's decisions, and the mechanism by which users may invoke or override human review?",MAIN QUESTIONS
AR_287,"Has the organization established standards for disclosing, where permissible and to the extent practicable, the general categories of training data used — including population characteristics, temporal coverage, and known representativeness limitations — to support user understanding of potential model biases?",MAIN QUESTIONS
AR_288,"Has the organization identified vulnerable user groups (e.g., elderly, minors, low digital literacy) disproportionately affected by AI, and implemented proportionate safeguards such as simplified interfaces, enhanced plain-language explanations, and clearly signposted human escalation paths?",MAIN QUESTIONS
AR_289,"Is there an automated cryptographic linkage or CI/CD metadata tag connecting the public-facing 'Model Card' to the production model version, ensuring public documentation instantly deprecates if the model is rolled back?",MAIN QUESTIONS
AR_290,Are Large Language Models (LLMs) subjected to adversarial 'jailbreak' testing specifically designed to force the model to bypass or contradict its own legally mandated output disclaimers?,MAIN QUESTIONS
AR_291,"Does the organization conduct periodic trend analysis of adverse impact reports, categorised by incident type, severity, and AI system -- with findings reviewed by the governance function and integrated into risk reassessment and system improvement planning?",MAIN QUESTIONS
AR_292,"Are pre-approved, legally validated communication templates maintained for algorithmic harms, ensuring rapid, compliant disclosure to affected users without drafting delays?",MAIN QUESTIONS
AR_293,"Rate the maturity and effectiveness of your formally governed AI transparency framework—requiring pre-publication review by legal/risk, prohibiting misleading capability claims, ensuring disclaimers accurately reflect known constraints, and mandating version-controlled updates upon material system changes.",MAIN QUESTIONS
AR_294,"Where bias or fairness limitations have been identified through testing or operational monitoring, does the organization disclose those limitations to relevant users and interested parties in a manner proportionate to their materiality and risk classification -- and are disclosures updated when bias monitoring identifies changes?",MAIN QUESTIONS
AR_295,"What percentage of AI systems has the organization defined and implemented retention and archival requirements for all ai transparency artefacts -- including historical user documentation, model cards, regulatory submissions, and incident communications -- with integrity protection and version dating to demonstrate what was disclosed at any specific point in time?",MAIN QUESTIONS
AR_296,"Does the organization implement active controls to detect inconsistencies between AI system information disclosed across different channels -- including marketing, technical documentation, model cards, and regulatory submissions -- through periodic structured reconciliation reviews, with findings documented and remediation tracked?",MAIN QUESTIONS
AR_297,"Rate the maturity of your formally defined and documented responsible AI use processes, integrated those processes into operational workflows and access controls -- rather than maintaining them as standalone policies -- and designated a process owner accountable for their currency and updating when systems change or incidents indicate inadequacy.",MAIN QUESTIONS
AR_298,"What percentage of AI systems have provide role-differentiated responsible AI use training for all individuals involved in operating, deploying, or using AI systems -- with training completion recorded, content refreshed upon material system or regulatory changes, and access to high-risk AI roles conditioned on verified training completion??",MAIN QUESTIONS
AR_299,Is there a formally documented appeals process enabling employees to contest automated account lockouts triggered by false-positive AI misuse detections?,MAIN QUESTIONS
AR_300,"Has the organization defined actionable Responsible AI (RAI) objectives with measurable indicators—and does it systematically assess operational progress against these metrics, updating them when the AI portfolio or regulations change?",MAIN QUESTIONS
AR_301,"What percentage of AI systems has the organization formally defined and documented the intended use of each ai system -- including tasks supported, user populations, deployment environments, and explicit out-of-scope and prohibited use boundaries -- with jurisdiction-specific compliance requirements assessed where systems are deployed across multiple jurisdictions?",MAIN QUESTIONS
AR_302,"Does the organization actively monitor operational logs and incident reports to detect out-of-scope use or misuse, triggering a formal, documented process for reporting, investigating, and remediating violations?",MAIN QUESTIONS
AR_303,"Where AI systems are deployed to or through third parties, does the organization impose binding contractual requirements for use in accordance with intended use documentation -- covering prohibition of out-of-boundary use, reporting obligations for detected misuse, and adherence to the organization's responsible AI use policies?",MAIN QUESTIONS
AR_304,Are internal behavioral analytics tools deployed to identify patterns of internal staff attempting to 'jailbreak' or bypass the guardrails of internal enterprise AI systems?,MAIN QUESTIONS
AR_305,Are formal SLA response times established and tracked for human overseers to ensure intervention decisions are made rapidly enough to prevent downstream harm during an anomalous AI event?,MAIN QUESTIONS
AR_306,"What percentage of AI systems has the organization assessed the risk of automation bias and implemented countermeasures proportionate to the system risk classification — including user guidance, interface design controls, mandatory review requirements, and periodic assessment of whether human oversight is exercised meaningfully rather than nominally?",MAIN QUESTIONS
AR_307,"Has the organization defined a policy governing unsanctioned AI tools, and does it actively deploy scanning mechanisms to detect shadow AI workflows or secondary data ingestion (e.g., employees uploading proprietary PDFs to public LLMs)?",MAIN QUESTIONS
AR_308,"What percentage of AI systems where ai systems are used in combination — including pipelines, agentic architectures, and model chaining — has the organization assessed the combined use context as a distinct governance object with an aggregate risk assessment and formal governance approval, and is the combined system monitored for drift in constituent systems that would affect the overall risk profile?",MAIN QUESTIONS
AR_309,What proportion of individuals with operational AI system access have completed role-appropriate responsible use training in the current review period?,MAIN QUESTIONS
AR_310,What proportion of AI systems currently in operational use have a formally documented and governance-approved intended use specification?,MAIN QUESTIONS
AR_311,"How would the organization characterise the volume of misuse incidents, out-of-scope use events, or unsanctioned AI tool violations reported and investigated in the current review period?",MAIN QUESTIONS
AR_312,What proportion of high-stakes AI-informed decisions subject to mandatory human oversight requirements received documented human review prior to action being taken in the current review period?,MAIN QUESTIONS
AR_313,"Are automated telemetry dashboards deployed to provide the Board or Risk Committee with real-time, quantitative visibility into enterprise-wide Responsible AI metric deviations?",MAIN QUESTIONS
AR_314,Are automated Zero-Trust access systems configured to instantly quarantine or revoke enterprise API access for any employee whose behavior triggers a severe AI AUP violation?,MAIN QUESTIONS
AR_315,"What percentage of AI systems have implemented documented mechanisms for restricting or revoking AI system access for individuals found to be in violation of responsible use requirements — with defined eligibility criteria, designated revocation authority, a formal reinstatement process, and audit records of all revocation and reinstatement actions??",MAIN QUESTIONS
AR_316,"What percentage of AI systems has the organization defined criteria for suspending ai system operation — covering drift beyond defined thresholds, safety incidents, regulatory inquiry, and monitoring failures — with a designated authority empowered to invoke suspension immediately, a communication process for affected users and stakeholders, and formally defined reinstatement criteria?",MAIN QUESTIONS
AR_317,Does the organization employ dynamic workload scheduling capabilities to automatically route compute-intensive AI training jobs to cloud regions or data centers powered by higher percentages of renewable energy?,MAIN QUESTIONS
AR_318,"Before training or retraining AI models, does the organization verify that training data (a) covers current regulations or business rules and (b) reflects realistic class balances, rather than over-representing rare events compared to production reality?",MAIN QUESTIONS
AR_319,"Does the organization regularly review whether key business definitions (e.g., churn, risk grades, product hierarchies) and underlying training data remain current, and update or retire models when those definitions or behaviours change materially?",MAIN QUESTIONS
AR_320,"Does the organization strictly validate that target labels do not leak into features, enforce clean separation between training and test sets, and strictly control the ingestion of AI-generated synthetic data to mitigate recursive model collapse?",MAIN QUESTIONS
AR_321,"For AI-assisted development (Copilots), does the organization enforce secure coding standards to prevent hardcoded secrets, detect unmaintainable auto-generated code, and monitor for technical failure modes such as hallucinated libraries?",MAIN QUESTIONS
AR_322,"For AI-related code and controls, does the organization review AI-generated tests for substantive coverage (not trivial assertions) and periodically test key AI controls — including monitoring, access, and fairness checks — for ongoing effectiveness?",MAIN QUESTIONS
AR_323,Does the organization operate a controlled model release process that tracks versions from testing to production and validates that disaster-recovery or backup models match approved production versions before failover?,MAIN QUESTIONS
AR_324,"Are AI APIs and orchestration platforms managed with robust secret management — including short-lived tokens, vaults, and key rotation — and hardened container and orchestrator configurations to limit the blast radius of a compromised AI container or credential?",MAIN QUESTIONS
AR_325,"For AI systems involved in pricing or market recommendations, does the organization monitor for patterns that may indicate algorithmic collusion or unlawful price discrimination across customer segments or devices?",MAIN QUESTIONS
AR_326,Do the organization's contracts and vendor due diligence for AI development explicitly address downstream labour practices — such as data labeling and content moderation — to prevent unethical or undisclosed sub-contracting?,MAIN QUESTIONS
AR_327,"Do critical verification processes (e.g., onboarding, voice/video payments, call-centre authentication) include strong anti-spoofing controls—such as deepfake checks, liveness detection, and out-of-band callbacks—to defend against synthetic identities and cloned impersonation?",MAIN QUESTIONS
AR_328,Is the LLM context window architecturally isolated such that sensitive PII or confidential client data retrieved via RAG is explicitly excluded from being written back to centralized telemetry or training logs?,MAIN QUESTIONS
AR_329,"Is there a persistent, tamper-evident log of all material AI-assisted decisions and actions, including timestamp, model version, input summary, and — where applicable — the identity of the human approver?",MAIN QUESTIONS
AR_330,"Can the organization identify the specific knowledge base version or RAG source document referenced in generating a given AI output — and if a decision is challenged, trace that output back to the specific datasets or sources used?",MAIN QUESTIONS
AR_331,"For high-risk AI systems, is there a named owner and a regulatory-ready documentation pack — covering system design, training data sources, testing results, monitoring arrangements, change history, and key decisions — that is kept current?",MAIN QUESTIONS
AR_332,"For AI systems that target offers, discounts, or pricing, does the organization review outcomes for geographic or demographic bias to ensure they do not systematically disadvantage protected groups or breach fair-trading or anti-discrimination laws?",MAIN QUESTIONS
AR_333,Is a formally documented AI governance structure (such as a dedicated committee) actively maintained with an enforced mandate requiring all high-risk AI initiatives to pass through ethics and risk oversight prior to deployment?,MAIN QUESTIONS
AR_334,"What percentage of automated, continuous fuzzing pipelines deployed to mathematically test the AI model's resilience against millions of synthetic adversarial prompt variations prior to release??",MAIN QUESTIONS
AR_335,"What percentage of specialized algorithms deployed to automatically detect 'Memorization' in generative models, ensuring the LLM does not regurgitate exact verbatim snippets of copyrighted or sensitive training data??",MAIN QUESTIONS
AR_336,"Does the organization manage risks from third-party or embedded AI components — such as SaaS plugins — and enforce policies for AI-generated content labelling and watermarking, including detecting and responding when users attempt to remove watermarks?",MAIN QUESTIONS
AR_337,"Does the Board or Executive Risk Committee formally sign off on the residual adversarial risk profile following tabletop exercises, legally accepting the identified vulnerabilities?",MAIN QUESTIONS
AR_338,"For AI-enabled interfaces — including web, mobile, kiosks, and chat — does the organization assess and remediate accessibility against recognized standards such as WCAG, including support for assistive technologies and alternative interaction modes?",MAIN QUESTIONS
AR_339,"Does the organization review and adjust AI-driven performance or productivity metrics to ensure they do not unfairly penalize certain roles or employees, and are staff able to formally challenge AI-generated evaluations?",MAIN QUESTIONS
AR_340,Are automated UI fuzzing tools or A/B testing governance frameworks employed to mathematically prove that AI-driven interface variations do not inadvertently optimize for deceptive practices or user coercion?,MAIN QUESTIONS
AR_341,"Are all formally submitted audit artifacts or compliance reports cryptographically signed or hashed by the originating source system, proving they were not generated or altered by an LLM?",MAIN QUESTIONS
AR_342,Are deepfake detection models actively subjected to adversarial retraining to ensure they remain resilient against 'zero-day' generative AI synthesis techniques designed to bypass liveness checks?,MAIN QUESTIONS
AR_343,"Are AI systems driving operational transactions continuously monitored for abnormal business logic patterns—such as systematic upcoding, margin erosion ('race to the bottom'), or promoting out-of-stock items—with human review of flagged exceptions?",MAIN QUESTIONS
AR_344,"Does the organization use advanced controls—such as API throttling, CAPTCHAs, device fingerprinting, and velocity checks—to detect and block automated data scraping, fake account creation, or abuse of sign-up incentives?",MAIN QUESTIONS
AR_345,"Does the organization enforce hardware-backed FIDO2/WebAuthn tokens for high-value transactions, explicitly bypassing the reliance on highly spoofable biometric voice or facial recognition?",MAIN QUESTIONS
AR_346,"Is formal, up-to-date RACI (Responsible, Accountable, Consulted, Informed) documentation maintained and reviewed at least annually for all in-scope AI systems, explicitly assigning lifecycle owners and validation authorities?",MAIN QUESTIONS
AR_347,"Conduct and document a formal benefit-cost analysis (including quantified efficiency gains, risk-adjusted costs, displacement costs, and strategic value) before approving material AI investments, with results reviewed by senior governance.",MAIN QUESTIONS
AR_348,"Has the organization formally assessed the workforce impacts of AI, implementing a knowledge-transfer programme with documented retraining pathways, while actively measuring morale, productivity, and fear of replacement?",MAIN QUESTIONS
AR_349,"Where AI is used to monitor employees (e.g., keystrokes, productivity), does the organization implement proportionate safeguards including data minimization, explicit notification, opt-out/appeal mechanisms, and formal review by legal and HR functions?",MAIN QUESTIONS
AR_350,"Are all modifications to live monitoring thresholds treated as critical code changes, requiring formal change management approval, peer review, and immutable logging of the rationale?",MAIN QUESTIONS
AR_351,"Are AI-driven user interfaces subjected to automated accessibility scanning (e.g., WCAG 2.1 compliance) and algorithmic bias testing specifically targeting the UX flows for identified vulnerable populations?",MAIN QUESTIONS
AR_352,"For high-risk or financially material AI interactions, is there a technical 'hard gate' requiring explicit, auditable user consent (e.g., a forced-acknowledgment clickwrap) before the AI model executes the request?",MAIN QUESTIONS
AR_353,Are AI incident reporting channels integrated with automated triage systems that instantly escalate critical algorithmic harms or safety failures directly to the legal and risk governance teams?,MAIN QUESTIONS
AR_354,"Does the designated Incident Commander possess the documented, unquestioned authority to execute an algorithmic 'freeze' or hard shutdown, bypassing standard business-unit approvals?",MAIN QUESTIONS
AR_355,"Rate the maturity of your Define and operationalise a formal AI incident-escalation process with severity-based escalation tiers, named escalation authorities, time-bound escalation thresholds, board/executive notification triggers, and documented post-escalation review..",MAIN QUESTIONS
AR_356,Is the AI system inventory directly integrated with the Enterprise Architecture (EA) or IT Service Management (ITSM) platforms to ensure real-time synchronization of model dependencies and infrastructure changes?,MAIN QUESTIONS
AR_357,What percentage of automated Software Composition Analysis (SCA) tools deployed within the CI/CD pipeline to immediately block the deployment of AI models containing unauthorized or legally toxic open-source dependencies??,MAIN QUESTIONS
AR_358,Are third-party vendor AI contracts systematically evaluated to ensure robust indemnification clauses exist protecting the organization against copyright infringement claims generated by the vendor's model?,MAIN QUESTIONS
AR_359,"Document and enforce data-residency requirements for all AI systems — specifying jurisdiction constraints, storage locations, cross-border transfer controls, approved cloud regions, and compliance verification — reviewed by legal and privacy functions.",MAIN QUESTIONS
AR_360,"Maintain a formal model-licensing register and policy for all third-party and foundation models used — documenting licence type, usage restrictions, permitted-use scope, commercial terms, renewal dates, and compliance obligations — reviewed annually.",MAIN QUESTIONS
AR_361,"For AI systems operating across multiple jurisdictions, is there a single accountable owner or committee responsible for mapping applicable laws/regulations and ensuring consistent oversight across all regions?",MAIN QUESTIONS
AR_362,"For regulated communications (e.g., broker-dealer, FINRA), have AI-enabled systems such as chatbots, collaboration tools, or auto-deletion rules been assessed to ensure required retention periods are met and logs are not deleted early?",MAIN QUESTIONS
AR_363,"Where AI software could qualify as a medical device or clinical decision support, do you have a documented determination of regulatory status (e.g., FDA/MDR) and, where applicable, evidence of clearance or a plan to obtain it before production use?",MAIN QUESTIONS
AR_364,"What percentage of AI systems before deploying significant ai systems, do you systematically review (a) ai-specific regulations, (b) model and tool licence terms, and (c) client contract clauses on ai use, and implement controls to prevent non-compliant processing or service delivery?",MAIN QUESTIONS
AR_365,"Are automated 'Inter-Rater Reliability' (IRR) metrics continuously calculated to ensure mathematical consistency among human reviewers, triggering automatic retraining when consensus drops below defined thresholds?",MAIN QUESTIONS
AR_366,"For retrieval-augmented generation (RAG) or search over client/internal documents, do you enforce dynamic, attribute-based access controls (ABAC) to strictly prevent datasets of different classifications, clients, or conflict-of-interest matters from being surfaced to unauthorized users?",MAIN QUESTIONS
AR_367,Are drift incident post-mortems automatically ingested into a centralized risk database to dynamically update enterprise risk registers and adjust future model validation parameters?,MAIN QUESTIONS
AR_368,"Where AI generates data or narratives used as evidence for financial reporting or controls (e.g., reconciliations, explanations, ICFR documentation), do you require human validation and maintain an audit trail to detect fabricated or unsupported outputs?",MAIN QUESTIONS
AR_369,"Is the AI recommender system architected to query real-time inventory and fulfillment APIs synchronously, ensuring physical supply constraints act as an absolute hard-stop on digital recommendations?",MAIN QUESTIONS
AR_370,"Is there a mandatory, logged human-in-the-loop (HITL) review process specifically required before any AI-generated legal citations, regulatory references, or medical claims are permitted to be published or actioned?",MAIN QUESTIONS
AR_371,Is automated Software Composition Analysis (SCA) tightly integrated into the IDE to instantly block developers from accepting AI-generated code snippets containing known CVEs or toxic licensing?,MAIN QUESTIONS
AR_372,"For customer-facing AI assistants, do you monitor interactions to prevent aggressive or shaming responses to frustrated users, and to ensure the system does not prioritise being agreeable over being accurate and transparent?",MAIN QUESTIONS
AR_373,"Where AI drafts contracts, policies, or other legally relevant documents, do you have controls (e.g., templates, human review, clause libraries) to detect hallucinated clauses or overconfident statements presented as fact?",MAIN QUESTIONS
AR_374,"When embedding models or core LLM versions are updated, do you follow a controlled, automated process (e.g., forced re-indexing, validation queries, integrity checks) to prevent corrupted vector indexes and misaligned retrieval results?",MAIN QUESTIONS
AR_375,"Do you monitor and alert on API inference latency and upstream data-processing delays so that AI decisions are made within agreed SLAs and on up-to-date events, rather than acting on information that is already stale?",MAIN QUESTIONS
AR_376,"Do you monitor for stale features, cached anomalies, or out-of-date ground truth data in vector databases (RAG), and employ automated checks to detect upstream schema changes that could break model inputs or reasoning cycles?",MAIN QUESTIONS
AR_377,"Do you manage AI infrastructure using Infrastructure-as-Code (IaC), employing tools to alert within 60 seconds of manual configuration drift, while maintaining secure backups and emergency patching plans for serving platforms?",MAIN QUESTIONS
AR_378,"After AI controls are implemented, do you maintain an ongoing view of residual AI risk (e.g., metrics, dashboards, periodic reviews) rather than treating risk assessments as one-time exercises?",MAIN QUESTIONS
AR_379,"Do you routinely test infrastructure and AI models for privacy attacks (e.g., model inversion, membership inference), utilizing dedicated firewalls and red-teaming to ensure attackers cannot reverse-engineer training data to identify individuals?",MAIN QUESTIONS
AR_380,Is the AI training pipeline directly integrated with an automated Enterprise Consent Management platform to instantly drop user records from training batches if consent is dynamically revoked?,MAIN QUESTIONS
AR_381,Are automated 'forgetting' protocols technically enforced to ensure that granular employee productivity telemetry is irrevocably aggregated or deleted after a strictly defined short-term retention period?,MAIN QUESTIONS
AR_382,"Do your AI training and inference pipelines support privacy-by-design controls such as (a) enforcing data minimisation, (b) honouring deletion and right-to-be-forgotten requests, and (c) reducing re-identification risks when combining anonymised datasets?",MAIN QUESTIONS
AR_383,"For AI-enabled kiosks that use cameras or touchscreens, do you implement security and privacy controls for biometrics (e.g., anti-tampering, encryption, consent notices) and ensure accessibility features (e.g., voice or haptic modes) for disabled users?",MAIN QUESTIONS
AR_384,"For critical AI use cases, have you assessed dependency on any single AI provider or foundation-model family and maintained a tested fallback or exit strategy to avoid lock-in?",MAIN QUESTIONS
AR_385,Are automated financial 'circuit breakers' hardcoded into AI pricing engines to instantly halt automated price adjustments if algorithmic competition triggers a cascading revenue loss event?,MAIN QUESTIONS
AR_386,"Do you actively monitor AI models that influence markets or pricing for feedback-loop behaviour (e.g., sudden incoherence, cascading errors, or rapid price swings) and have documented triggers for human intervention or shutdown?",MAIN QUESTIONS
AR_387,"For critical AI use cases, has the organization assessed its concentration risk against any single AI provider or foundation model family, and formalized a documented, periodically tested fallback or exit strategy?",MAIN QUESTIONS
AR_388,"Is there a single, up-to-date AI risk register with named owners for each major risk, and is it formally updated whenever models, vendors, or high-risk use cases change?",MAIN QUESTIONS
AR_389,"Have your cyber and professional liability policies and key customer contracts been reviewed to confirm whether AI-specific failures (e.g., hallucinated outputs, algorithmic decisions, indemnity clauses) are explicitly covered, excluded, or require additional endorsements?",MAIN QUESTIONS
AR_390,"For customer-facing AI chatbots that can discuss pricing, refunds, or contract terms, do you enforce rules and monitoring to prevent the bot from making commitments that exceed policy (e.g., guardrail prompts, approved templates, human approval for exceptions)?",MAIN QUESTIONS
AR_391,"Are AI model assets (including weights and key configurations) stored in controlled, encrypted repositories and consistently referenced in a central AI risk register that is kept current when systems, risks, or controls change?",MAIN QUESTIONS
AR_392,"Is adversarial prompt-testing conducted within isolated, ephemeral sandboxes to prevent 'sponge' or resource-exhaustion attacks from impacting the core production infrastructure?",MAIN QUESTIONS
AR_393,"Do you maintain a rigorous inventory, vulnerability scanning, and patch management process for all critical AI components (frameworks, open-source libraries, GPU drivers) to mitigate supply-chain risks?",MAIN QUESTIONS
AR_394,"Are sensitive prompts and system instructions protected from exposure (e.g., redaction, access controls, log hygiene), and do you test against prompt-injection techniques that attempt to reveal or override hidden system prompts?",MAIN QUESTIONS
AR_395,"Have you evaluated hardware-level and side-channel risks for AI workloads (e.g., GPU driver vulnerabilities, power or timing analysis) and applied mitigations such as hardened images, workload isolation, and monitoring of unusual access patterns?",MAIN QUESTIONS
AR_396,"Do you control what inference data and training artefacts persist in caches, logs, or monitoring systems, and scrub or protect any residual data or hyperparameter information that could leak sensitive context or aid model reverse-engineering?",MAIN QUESTIONS
AR_397,"For AI APIs and endpoints, have you assessed threats such as man-in-the-middle interception and model extraction, and implemented protections like strong encryption, authentication, rate limiting, and anomaly detection on query patterns?",MAIN QUESTIONS
AR_398,Are internal and external AI endpoints managed with comprehensive lifecycle processes—including automated tools to scan for and disable legacy 'zombie/ghost' APIs and expired TLS certificates?,MAIN QUESTIONS
AR_399,Are cryptographic hashes and strict lineage metadata validated at runtime to ensure no unauthorized or unverified datasets can be dynamically swapped into the training pipeline?,MAIN QUESTIONS
AR_400,"Have you implemented controls to prevent abuse of AI channels for replay-style attacks (e.g., resubmitting signed requests) and for highly personalised phishing campaigns that use AI to generate convincing messages at scale?",MAIN QUESTIONS
AR_401,"Are explicit policies and technical controls enforced to restrict staff from using AI tools with MNPI, pasting client-confidential data, hiding malicious code, or altering audit evidence?",MAIN QUESTIONS
AR_402,Are Cloud Access Security Brokers (CASB) or Secure Web Gateways (SWG) configured with AI-specific heuristics to block enterprise credentials from authenticating to unsanctioned consumer AI endpoints?,MAIN QUESTIONS
AR_403,Do frontline users receive training that (a) explains the cultural and contextual limits of AI outputs and (b) explicitly encourages them to challenge or override AI suggestions when they appear inappropriate or wrong?,MAIN QUESTIONS
AR_404,Is the enterprise AI adoption strategy formally linked to HR severance and redeployment budget forecasts to ensure ethical financial provisioning for mathematically likely role displacements?,MAIN QUESTIONS
AR_405,"For AI systems that can generate or route public-facing content, do you (a) define high-risk topics, (b) apply additional human review or fact-checking, and (c) monitor for amplification of false or harmful narratives across channels?",MAIN QUESTIONS
AR_406,"Do you have a documented approach to AI-assisted work that includes guardrails to preserve core skills (e.g., training, rotation, limits on AI use for juniors) and periodic checks that staff can still perform key tasks without AI support?",MAIN QUESTIONS
AR_407,"Before adopting or renewing critical AI services, do you assess vendor financial stability and maintain a contingency plan (e.g., alternative provider, internal fallback) if that vendor fails or exits the market?",MAIN QUESTIONS
AR_408,"For your AI vendors, do you map the chain of custody for data passed to AI sub-processors, ensuring no data helps train third-party foundation models without consent?",MAIN QUESTIONS
AR_409,"When AI influences important decisions, do your policies and disclosures clearly assign human accountability rather than suggesting that responsibility lies with the tool or vendor, and are escalation paths defined when outcomes are disputed?",MAIN QUESTIONS
AR_410,"Are enterprise AI chat interfaces explicitly integrated with Information Barrier ('Ethical Wall') tagging, physically preventing users from querying models with data restricted by conflict-of-interest policies?",MAIN QUESTIONS
AR_411,Are technical pseudonymization or differential privacy mechanisms mathematically applied to sensitive HR datasets before they are exposed to the AI model training environment?,MAIN QUESTIONS
AR_412,"What percentage of 'Shadow Scorecards' run in parallel to production AI decision engines to continuously benchmark algorithmic outcomes against traditional, proven heuristic rulesets, immediately flagging divergence??",MAIN QUESTIONS
AR_413,"When AI influences important decisions, can you provide a meaningful explanation of the main factors, and are responsibilities defined so that staff are not held personally liable for errors they cannot see or technically prevent?",MAIN QUESTIONS
AR_414,"For high-impact AI models (e.g., credit, hiring, customer treatment), do you test performance and error rates across key demographic groups and remediate when one group is consistently disadvantaged?",MAIN QUESTIONS
AR_415,"For high-impact AI models (e.g., credit, hiring, claims decisions), do you systematically test performance and error rates across key demographic groups to validate that valid claims/applications are not systematically denied, providing clear escalation paths for remediation?",MAIN QUESTIONS
AR_416,Are prompts submitted by financial or trading personnel subjected to automated real-time lexical scanning to block the transmission of unreleased financial tickers or MNPI to third-party APIs?,MAIN QUESTIONS
AR_417,"What percentage of AI oversight bodies possess the formally documented, unimpeded authority and clear escalation paths to pause, modify, or permanently stop the deployment of high-risk AI systems without requiring product-team consensus??",MAIN QUESTIONS
