qid_code,question_text,component_group,function_tag,usecase_tag,role_tag,response_type,trigger_points,is_universal,nist_rmf,iso42001_clause,owasp_ref,guidance_text,risk_count,risk_ids,avg_risk_score,max_risk_score,avg_probability,avg_impact,total_weight,severity
AR_146,Do you automatically re-index your Vector DB whenever the core LLM version is updated?,Vector Database,Production AI,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_293|R_AR_294,6.92,6.92,4.0,3.0,1.3334,Medium
AR_147,"Do you validate all data entering your knowledge base to prevent ""Adversarial Context"" (e.g., a doc that tricks the AI into giving illegal discounts)?",Knowledge Base,All Models,Security Mgr,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_295|R_AR_296,10.2,10.2,4.0,4.0,1.3334,High
AR_148,"Is there an automated ""Cleaning Layer"" that strips PII from data before it is turned into vectors/embeddings?",Embeddings,Production AI,ML Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_297|R_AR_298,9.7,9.7,4.0,4.0,1.3334,High
AR_149,"Does your DB flag ""outdated"" knowledge (e.g., 2024 tax laws) so the AI doesn't use it to answer 2026 queries?",Knowledge Base,Production AI,ML Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_299|R_AR_300,9.23,9.23,4.0,4.0,1.3334,High
AR_150,"In shared DB environments, do you use ""Metadata Filtering"" to ensure the AI only retrieves data the specific user is allowed to see?",Retrieval (RAG),Production AI,Privacy Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_301|R_AR_302,12.13,12.13,4.0,5.0,1.3334,Critical
AR_151,"In multi‑team or multi‑tenant environments, missing metadata filters can cause the AI to blend data from different departments or clients. This can lead to accidental cross‑tenant retrieval, where one business unit gains visibility into another’s documents, embeddings, or knowledge assets.",Retrieval (RAG),All,Risk Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_303|R_AR_304,12.13,12.13,4.0,5.0,1.3334,Critical
AR_152,"Is your ""Prompt Logic"" version-controlled and peer-reviewed just like your Python/Java code?",Prompt Engineering,All,Data Analyst,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_305|R_AR_306,9.7,9.7,4.0,4.0,1.3334,High
AR_153,"If a model's ""reasoning"" contradicts a hard business rule, does the system automatically default to the safest ""Fail-Closed"" state?",Application Layer,Cloud AI,Data Analyst,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_307|R_AR_308,9.7,9.7,4.0,4.0,1.3334,High
AR_154,"Do you test your business logic against ""Adversarial Prompts"" designed to find logical contradictions in your rules?",LLM / Model Layer,All,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_309|R_AR_310,7.65,7.65,3.0,4.0,1.3334,Medium
AR_155,"Does your AI act with the Least Privilege of the end-user, or does it use a ""Superuser"" service account?",Application Layer,All,Risk Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_311|R_AR_312,12.13,12.13,4.0,5.0,1.3334,Critical
AR_156,"           Do your Domain Objects automatically mask ""Secret"" fields (like SSNs) before they are passed into the AI's ""Context Window""?",Application Layer,All Models,IT Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_313|R_AR_314,9.7,9.7,4.0,4.0,1.3334,High
AR_157,"Does your entitlement layer prevent the AI from ""inferring"" sensitive relationships (e.g., ""Who does User X report to?"")?",Application Layer,Decision AI,IT Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_315|R_AR_316,7.65,7.65,3.0,4.0,1.3334,Medium
AR_158,"Are permissions re-checked at the moment of AI execution, or only when the user first logs in?",Application Layer,Sensitive Data AI,IT Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_317|R_AR_318,9.7,9.7,4.0,4.0,1.3334,High
AR_159,Can every AI-driven object modification be traced back to both the Model ID and the Authorizing Human?,Application Layer,Sensitive Data AI,IT Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_319|R_AR_320,6.92,6.92,3.0,4.0,1.3334,Medium
AR_160,"Do you inspect the data leaving the repository to ensure the AI isn't pulling 1,000+ rows when it only asked for 1?",Application Layer,Decision AI,IT Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_321|R_AR_322,9.7,9.7,4.0,4.0,1.3334,High
AR_161,"Is there a hard limit on how many ""Semantic Searches"" an agent can perform in a one-minute window?",Vector Database,All,Risk Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_323|R_AR_324,9.23,9.23,4.0,4.0,1.3334,High
AR_162,Are the embeddings and the raw data they point to encrypted with Customer-Managed Keys (CMK)?,Embeddings,All,Risk Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_325|R_AR_326,7.28,7.28,3.0,4.0,1.3334,Medium
AR_163,"Is your AI Repo ""pinned"" to a specific data snapshot, preventing it from using ""live"" data during a training or fine-tuning run?",Vector Database,All Models,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_327|R_AR_328,7.28,7.28,3.0,4.0,1.3334,Medium
AR_164,"Does your Repository support ""Private Information Retrieval"" where the database doesn't actually ""know"" what the AI is searching for?",Vector Database,Production AI,SysAdmin,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_329|R_AR_330,4.23,4.23,2.0,3.0,1.3334,Low
AR_165,Do you have an automated shut-off if an AI service starts consuming 500% more tokens than its historical average?,Orchestration / Agents,Model Training,SOC Analyst,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_331|R_AR_332,6.59,6.59,4.0,3.0,1.3334,Medium
AR_166,"Does your service manager run ""Shadow Tests"" (comparing a new model's logic against an old one) before a full rollout?",Orchestration / Agents,Production AI,ML Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_333|R_AR_334,6.92,6.92,3.0,4.0,1.3334,Medium
AR_167,"Does the Service Manager check if the AI's ""intended action"" (e.g., ""Send Email"") matches the original user's request?",Orchestration / Agents,Production AI,ML Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_335|R_AR_336,9.7,9.7,4.0,4.0,1.3334,High
AR_168,"For high-impact actions, does the service manager ""pause"" and wait for a human ""O.K."" in Slack/Teams before executing?",Orchestration / Agents,Production AI,IT Manager,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_337|R_AR_338,11.54,11.54,4.0,5.0,1.3334,High
AR_169,"Can you instantly disable a specific AI service (e.g., ""Customer Support Bot"") without taking down your entire IT infrastructure?",Orchestration / Agents,Production AI,IT Manager,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_339|R_AR_340,6.92,6.92,3.0,4.0,1.3334,Medium
AR_170,"If your primary AI API provider (e.g., OpenAI/Anthropic) goes offline for 4+ hours, can your system automatically ""fail over"" to a secondary provider or an internal open-source model?",Tools & API Integrations,Production AI,IT Manager,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_341|R_AR_342,6.92,6.92,4.0,3.0,1.3334,Medium
AR_171,"Can you instantly disable a specific AI service (e.g., ""Customer Support Bot"") without taking down your entire IT infrastructure?",Orchestration / Agents,Production AI,IT Manager,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,,,,,,,,No Risk Data
AR_172,"If your primary AI API provider (e.g., OpenAI/Anthropic) goes offline for 4+ hours, can your system automatically ""fail over"" to a secondary provider or an internal open-source model?",Tools & API Integrations,Production AI,IT Manager,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,,,,,,,,No Risk Data
