QID,Option_Order,Answer_Option
AR_282,3,No - No reporting mechanisms
AR_282,4,Not Applicable - No AI systems
AR_283,1,Yes - Explanations with UX testing
AR_283,2,Partial - Explanations without UX testing
AR_283,3,No - No explanation processes
AR_283,4,Not Applicable - No high-stakes decisions
AR_284,1,Yes - Formal communication plan maintained
AR_284,2,Partial - Plan partially documented
AR_284,3,No - No communication plan
AR_284,4,Not Applicable - No AI systems
AR_285,1,Yes - Reportability criteria formally defined
AR_285,2,Partial - Criteria partially defined
AR_285,3,No - No reportability criteria
AR_285,4,Not Applicable - No external reporting
AR_286,1,Yes - Comprehensive disclosure standards
AR_286,2,Partial - Limited disclosure standards
AR_286,3,No - No disclosure standards
AR_286,4,Not Applicable - No user-facing systems
AR_287,1,Yes - Training data disclosure standards
AR_287,2,Partial - Limited disclosure standards
AR_287,3,No - No disclosure standards
AR_287,4,Not Applicable - No user-facing systems
AR_288,1,Yes - Vulnerable groups with safeguards
AR_288,2,Partial - Identified without full safeguards
AR_288,3,No - No vulnerable group identification
AR_288,4,Not Applicable - No vulnerable users
AR_289,1,Yes - Auto linkage to model version
AR_289,2,Partial - Manual version tracking
AR_289,3,No - No version linkage
AR_289,4,Not Applicable - No public documentation
AR_290,1,Yes - Disclaimer bypass testing conducted
AR_290,2,Partial - Limited adversarial testing
AR_290,3,No - No disclaimer testing
AR_290,4,Not Applicable - No legal disclaimers
AR_291,1,Yes - Trend analysis with governance review
AR_291,2,Partial - Analysis without governance integration
AR_291,3,No - No trend analysis
AR_291,4,Not Applicable - No incident reports
AR_292,1,Yes - Pre-approved templates maintained
AR_292,2,Partial - Templates without legal validation
AR_292,3,No - No communication templates
AR_292,4,Not Applicable - No incident communications
AR_293,1,1-2 (Low/Limited)
AR_293,2,3 (Moderate)
AR_293,3,4-5 (High/Strong)
AR_293,4,Not Applicable
AR_294,1,Yes - Bias limitations disclosed and updated
AR_294,2,Partial - Disclosed without regular updates
AR_294,3,No - No bias disclosure
AR_294,4,Not Applicable - No identified biases
AR_295,1,Low (0-33%)
AR_295,2,Moderate (34-66%)
AR_295,3,High (67-100%)
AR_295,4,Not Applicable
AR_296,1,Yes - Consistency controls implemented
AR_296,2,Partial - Controls partially implemented
AR_296,3,No - No consistency controls
AR_296,4,Not Applicable - Single disclosure channel
AR_297,1,1-2 (Low/Limited)
AR_297,2,3 (Moderate)
AR_297,3,4-5 (High/Strong)
AR_297,4,Not Applicable
AR_298,1,Low (0-33%)
AR_298,2,Moderate (34-66%)
AR_298,3,High (67-100%)
AR_298,4,Not Applicable
AR_299,1,Yes - Formal appeals process exists
AR_299,2,Partial - Appeals process partially documented
AR_299,3,No - No appeals process
AR_299,4,Not Applicable - No automated lockouts
AR_300,1,Yes - RAI objectives with measurement
AR_300,2,Partial - Objectives without measurement
AR_300,3,No - No RAI objectives
AR_300,4,Not Applicable - No AI systems
AR_301,1,Low (0-33%)
AR_301,2,Moderate (34-66%)
AR_301,3,High (67-100%)
AR_301,4,Not Applicable
AR_302,1,Yes - Active monitoring with remediation
AR_302,2,Partial - Monitoring without remediation process
AR_302,3,No - No misuse monitoring
AR_302,4,Not Applicable - No AI systems
AR_303,1,Yes - Binding contractual requirements
AR_303,2,Partial - Requirements partially enforced
AR_303,3,No - No contractual requirements
AR_303,4,Not Applicable - No third-party deployment
AR_304,1,Yes - Behavioral analytics deployed
AR_304,2,Partial - Limited analytics monitoring
AR_304,3,No - No behavioral analytics
AR_304,4,Not Applicable - No internal AI systems
AR_305,1,Yes - SLA response times enforced
AR_305,2,Partial - SLAs without enforcement
AR_305,3,No - No response SLAs
AR_305,4,Not Applicable - No human oversight
AR_306,1,Low (0-33%)
AR_306,2,Moderate (34-66%)
AR_306,3,High (67-100%)
AR_306,4,Not Applicable
AR_307,1,Yes - Shadow AI detection deployed
AR_307,2,Partial - Policy without detection
AR_307,3,No - No shadow AI policy
AR_307,4,Not Applicable - No AI usage
AR_308,1,Low (0-33%)
AR_308,2,Moderate (34-66%)
AR_308,3,High (67-100%)
AR_308,4,Not Applicable
AR_309,1,Yes - Over 90% training completion
AR_309,2,Partial - 50-90% completion
AR_309,3,No - Under 50% completion
AR_309,4,Not Applicable - No AI users
AR_310,1,Yes - Over 90% documented
AR_310,2,Partial - 50-90% documented
AR_310,3,No - Under 50% documented
AR_310,4,Not Applicable - No AI systems
AR_311,1,Yes - Comprehensive tracking and investigation
AR_311,2,Partial - Limited tracking
AR_311,3,No - No tracking
AR_311,4,Not Applicable - No incidents
AR_312,1,Yes - Over 95% reviewed
AR_312,2,Partial - 75-95% reviewed
AR_312,3,No - Under 75% reviewed
AR_312,4,Not Applicable - No oversight requirements
AR_313,1,Yes - Real-time dashboards deployed
AR_313,2,Partial - Periodic reporting only
AR_313,3,No - No telemetry dashboards
AR_313,4,Not Applicable - No Board reporting
AR_314,1,Yes - Auto revocation configured
AR_314,2,Partial - Manual revocation process
AR_314,3,No - No automated revocation
AR_314,4,Not Applicable - No AUP enforcement
AR_315,1,Low (0-33%)
AR_315,2,Moderate (34-66%)
AR_315,3,High (67-100%)
AR_315,4,Not Applicable
AR_316,1,Low (0-33%)
AR_316,2,Moderate (34-66%)
AR_316,3,High (67-100%)
AR_316,4,Not Applicable
AR_317,1,Yes - Green workload scheduling automated
AR_317,2,Partial - Manual green scheduling
AR_317,3,No - No green scheduling
AR_317,4,Not Applicable - No cloud training
AR_318,1,Yes - Data currency verified
AR_318,2,Partial - Partial verification
AR_318,3,No - No data verification
AR_318,4,Not Applicable - No model training
AR_319,1,Yes - Regular definition reviews conducted
AR_319,2,Partial - Periodic reviews only
AR_319,3,No - No definition reviews
AR_319,4,Not Applicable - No business definitions
AR_320,1,Yes - Strict data leakage controls
AR_320,2,Partial - Basic separation controls
AR_320,3,No - No leakage controls
AR_320,4,Not Applicable - No model training
AR_321,1,Yes - Secure coding standards enforced
AR_321,2,Partial - Standards partially enforced
AR_321,3,No - No coding standards
AR_321,4,Not Applicable - No AI-assisted development
AR_322,1,Yes - AI controls regularly tested
AR_322,2,Partial - Tests without effectiveness review
AR_322,3,No - No control testing
AR_322,4,Not Applicable - No AI code
AR_323,1,Yes - Controlled release process enforced
AR_323,2,Partial - Release process partially enforced
AR_323,3,No - No release process
AR_323,4,Not Applicable - No model deployments
AR_324,1,Yes - Robust secret management enforced
AR_324,2,Partial - Basic secret management
AR_324,3,No - No secret management
AR_324,4,Not Applicable - No AI APIs
AR_325,1,Yes - Collusion patterns monitored
AR_325,2,Partial - Limited pattern monitoring
AR_325,3,No - No collusion monitoring
AR_325,4,Not Applicable - No pricing AI
AR_326,1,Yes - Labour practices explicitly addressed
AR_326,2,Partial - Partially addressed
AR_326,3,No - No labour practice review
AR_326,4,Not Applicable - No AI vendors
AR_327,1,Yes - Anti-spoofing controls enforced
AR_327,2,Partial - Limited anti-spoofing controls
AR_327,3,No - No anti-spoofing controls
AR_327,4,Not Applicable - No verification processes
AR_328,1,Yes - Context window isolated
AR_328,2,Partial - Partial isolation controls
AR_328,3,No - No isolation
AR_328,4,Not Applicable - No RAG systems
AR_329,1,Yes - Tamper-evident decision logs
AR_329,2,Partial - Logs without tamper protection
AR_329,3,No - No decision logs
AR_329,4,Not Applicable - No AI decisions
AR_330,1,Yes - Full source traceability enforced
AR_330,2,Partial - Partial traceability
AR_330,3,No - No source traceability
AR_330,4,Not Applicable - No RAG systems
AR_331,1,Yes - Documentation pack maintained
AR_331,2,Partial - Incomplete documentation
AR_331,3,No - No documentation pack
AR_331,4,Not Applicable - No high-risk systems
AR_332,1,Yes - Bias reviews conducted
AR_332,2,Partial - Limited bias reviews
AR_332,3,No - No bias reviews
AR_332,4,Not Applicable - No pricing AI
AR_333,1,Yes - Governance structure enforced
AR_333,2,Partial - Structure without enforcement
AR_333,3,No - No governance structure
AR_333,4,Not Applicable - No AI systems
AR_334,1,Low (0-33%)
AR_334,2,Moderate (34-66%)
AR_334,3,High (67-100%)
AR_334,4,Not Applicable
AR_335,1,Low (0-33%)
AR_335,2,Moderate (34-66%)
AR_335,3,High (67-100%)
AR_335,4,Not Applicable
AR_336,1,Yes - Third-party AI risks managed
AR_336,2,Partial - Risks partially managed
AR_336,3,No - No third-party risk management
AR_336,4,Not Applicable - No third-party AI
AR_337,1,Yes - Board sign-off on residual risk
AR_337,2,Partial - Risk acknowledged not signed
AR_337,3,No - No Board sign-off
AR_337,4,Not Applicable - No tabletop exercises
AR_338,1,Yes - Accessibility standards enforced
AR_338,2,Partial - Standards partially enforced
AR_338,3,No - No accessibility assessment
AR_338,4,Not Applicable - No AI interfaces
AR_339,1,Yes - Metrics reviewed with appeals
AR_339,2,Partial - Reviews without appeals process
AR_339,3,No - No metric reviews
AR_339,4,Not Applicable - No AI metrics
AR_340,1,Yes - Deception testing automated
AR_340,2,Partial - Limited deception testing
AR_340,3,No - No deception testing
AR_340,4,Not Applicable - No AI interfaces
AR_341,1,Yes - Crypto signatures on reports
AR_341,2,Partial - Some reports signed
AR_341,3,No - No cryptographic signing
AR_341,4,Not Applicable - No audit artifacts
AR_342,1,Yes - Adversarial retraining conducted
AR_342,2,Partial - Periodic retraining
AR_342,3,No - No adversarial retraining
AR_342,4,Not Applicable - No deepfake detection
AR_343,1,Yes - Business logic monitoring enforced
AR_343,2,Partial - Limited logic monitoring
AR_343,3,No - No logic monitoring
AR_343,4,Not Applicable - No operational AI
AR_344,1,Yes - Advanced abuse controls deployed
AR_344,2,Partial - Basic abuse controls
AR_344,3,No - No abuse controls
AR_344,4,Not Applicable - No public APIs
AR_345,1,Yes - Hardware tokens enforced
AR_345,2,Partial - Biometrics with some tokens
AR_345,3,No - Biometrics only
AR_345,4,Not Applicable - No high-value transactions
AR_346,1,Yes - RACI documentation maintained annually
AR_346,2,Partial - RACI without annual review
AR_346,3,No - No RACI documentation
AR_346,4,Not Applicable - No AI systems
AR_347,1,Yes - Formal benefit-cost analysis conducted
AR_347,2,Partial - Analysis partially conducted
AR_347,3,No - No benefit-cost analysis
AR_347,4,Not Applicable - No AI investments
AR_348,1,Yes - Workforce impacts assessed comprehensively
AR_348,2,Partial - Assessed without retraining programs
AR_348,3,No - No workforce assessment
AR_348,4,Not Applicable - No workforce impact
AR_349,1,Yes - Monitoring safeguards implemented
AR_349,2,Partial - Safeguards partially implemented
AR_349,3,No - No monitoring safeguards
AR_349,4,Not Applicable - No employee monitoring
AR_350,1,Yes - Threshold changes governed
AR_350,2,Partial - Changes partially governed
AR_350,3,No - No change governance
AR_350,4,Not Applicable - No monitoring thresholds
AR_351,1,Yes - Accessibility and bias scanning
AR_351,2,Partial - Accessibility scanning only
AR_351,3,No - No automated scanning
AR_351,4,Not Applicable - No AI interfaces
AR_352,1,Yes - Hard consent gate enforced
AR_352,2,Partial - Soft consent mechanism
AR_352,3,No - No consent gate
AR_352,4,Not Applicable - No high-risk interactions
AR_353,1,Yes - Auto escalation integrated
AR_353,2,Partial - Manual escalation process
AR_353,3,No - No automated triage
AR_353,4,Not Applicable - No incident reporting
AR_354,1,Yes - Commander has shutdown authority
AR_354,2,Partial - Authority with approval required
AR_354,3,No - No shutdown authority
AR_354,4,Not Applicable - No Incident Commander
AR_355,1,1-2 (Low/Limited)
AR_355,2,3 (Moderate)
AR_355,3,4-5 (High/Strong)
AR_355,4,Not Applicable
AR_356,1,Yes - Inventory integrated with EA/ITSM
AR_356,2,Partial - Manual synchronization
AR_356,3,No - No EA/ITSM integration
AR_356,4,Not Applicable - No AI inventory
AR_357,1,Low (0-33%)
AR_357,2,Moderate (34-66%)
AR_357,3,High (67-100%)
AR_357,4,Not Applicable
AR_358,1,Yes - Indemnification clauses verified
AR_358,2,Partial - Partial contract review
AR_358,3,No - No indemnification review
AR_358,4,Not Applicable - No vendor contracts
AR_359,1,Yes - Data residency enforced
AR_359,2,Partial - Requirements partially enforced
AR_359,3,No - No residency requirements
AR_359,4,Not Applicable - Single jurisdiction only
AR_360,1,Yes - Licensing register maintained annually
AR_360,2,Partial - Register without annual review
AR_360,3,No - No licensing register
AR_360,4,Not Applicable - No third-party models
AR_361,1,Yes - Single owner for multi-jurisdiction
AR_361,2,Partial - Distributed ownership
AR_361,3,No - No designated owner
AR_361,4,Not Applicable - Single jurisdiction only
AR_362,1,Yes - Retention compliance assessed
AR_362,2,Partial - Partial compliance assessment
AR_362,3,No - No retention assessment
AR_362,4,Not Applicable - No regulated communications
AR_363,1,Yes - Regulatory status documented
AR_363,2,Partial - Status assessed not documented
AR_363,3,No - No regulatory determination
AR_363,4,Not Applicable - No medical AI
AR_364,1,Low (0-33%)
AR_364,2,Moderate (34-66%)
AR_364,3,High (67-100%)
AR_364,4,Not Applicable
AR_365,1,Yes - IRR metrics with auto retraining
AR_365,2,Partial - IRR without auto retraining
AR_365,3,No - No IRR metrics
AR_365,4,Not Applicable - No human reviewers
AR_366,1,Yes - Dynamic ABAC enforced
AR_366,2,Partial - Static access controls
AR_366,3,No - No access controls
AR_366,4,Not Applicable - No RAG systems
AR_367,1,Yes - Auto ingestion into risk database
AR_367,2,Partial - Manual post-mortem tracking
AR_367,3,No - No centralized ingestion
AR_367,4,Not Applicable - No drift incidents
AR_368,1,Yes - Human validation with audit trail
AR_368,2,Partial - Validation without audit trail
AR_368,3,No - No validation requirements
AR_368,4,Not Applicable - No financial AI
AR_369,1,Yes - Real-time inventory integration
AR_369,2,Partial - Periodic inventory sync
AR_369,3,No - No inventory integration
AR_369,4,Not Applicable - No recommender systems
AR_370,1,Yes - Mandatory HITL for citations
AR_370,2,Partial - Optional HITL review
AR_370,3,No - No HITL requirement
AR_370,4,Not Applicable - No AI-generated citations
AR_371,1,Yes - SCA integrated into IDE
AR_371,2,Partial - Manual SCA review
AR_371,3,No - No IDE integration
AR_371,4,Not Applicable - No AI code generation
AR_372,1,Yes - Interaction quality monitored
AR_372,2,Partial - Limited interaction monitoring
AR_372,3,No - No quality monitoring
AR_372,4,Not Applicable - No AI assistants
AR_373,1,Yes - Legal document controls enforced
AR_373,2,Partial - Controls partially enforced
AR_373,3,No - No legal controls
AR_373,4,Not Applicable - No legal AI drafting
AR_374,1,Yes - Controlled update process enforced
AR_374,2,Partial - Process partially automated
AR_374,3,No - No update process
AR_374,4,Not Applicable - No embedding updates
AR_375,1,Yes - Latency monitoring with alerts
AR_375,2,Partial - Monitoring without alerts
AR_375,3,No - No latency monitoring
AR_375,4,Not Applicable - No inference SLAs
AR_376,1,Yes - Staleness and schema monitoring enforced
AR_376,2,Partial - Monitoring partially implemented
AR_376,3,No - No staleness monitoring
AR_376,4,Not Applicable - No vector databases
AR_377,1,Yes - IaC with drift alerts enforced
AR_377,2,Partial - IaC without drift alerts
AR_377,3,No - No IaC management
AR_377,4,Not Applicable - No AI infrastructure
AR_378,1,Yes - Ongoing residual risk monitoring
AR_378,2,Partial - Periodic reviews only
AR_378,3,No - One-time assessments only
AR_378,4,Not Applicable - No AI controls
AR_379,1,Yes - Routine privacy attack testing
AR_379,2,Partial - Limited privacy testing
AR_379,3,No - No privacy attack testing
AR_379,4,Not Applicable - No sensitive data
AR_380,1,Yes - Consent management auto-integrated
AR_380,2,Partial - Manual consent processing
AR_380,3,No - No consent integration
AR_380,4,Not Applicable - No consent requirements
AR_381,1,Yes - Automated forgetting enforced
AR_381,2,Partial - Manual deletion procedures
AR_381,3,No - No forgetting protocols
AR_381,4,Not Applicable - No productivity telemetry
AR_382,1,Yes - Privacy-by-design controls enforced
AR_382,2,Partial - Controls partially implemented
AR_382,3,No - No privacy-by-design controls
AR_382,4,Not Applicable - No personal data
AR_383,1,Yes - Security and accessibility enforced
AR_383,2,Partial - Security without full accessibility
AR_383,3,No - No kiosk controls
AR_383,4,Not Applicable - No AI kiosks
AR_384,1,Yes - Fallback strategy tested
AR_384,2,Partial - Strategy documented not tested
AR_384,3,No - No fallback strategy
AR_384,4,Not Applicable - No critical dependencies
AR_385,1,Yes - Circuit breakers hardcoded
AR_385,2,Partial - Manual intervention protocols
AR_385,3,No - No circuit breakers
AR_385,4,Not Applicable - No pricing AI
AR_386,1,Yes - Feedback monitoring with triggers
AR_386,2,Partial - Monitoring without auto triggers
AR_386,3,No - No feedback monitoring
AR_386,4,Not Applicable - No market AI
AR_387,1,Yes - Risk assessed with tested fallback
AR_387,2,Partial - Assessed without tested fallback
AR_387,3,No - No concentration assessment
AR_387,4,Not Applicable - No critical use cases
AR_388,1,Yes - Current register with updates
AR_388,2,Partial - Register without regular updates
AR_388,3,No - No AI risk register
AR_388,4,Not Applicable - No AI risks
AR_389,1,Yes - Policies reviewed for AI coverage
AR_389,2,Partial - Partial policy review
AR_389,3,No - No policy review
AR_389,4,Not Applicable - No AI deployments
AR_390,1,Yes - Commitment controls enforced
AR_390,2,Partial - Controls partially enforced
AR_390,3,No - No commitment controls
AR_390,4,Not Applicable - No customer chatbots
AR_391,1,Yes - Assets in controlled repositories
AR_391,2,Partial - Storage without central register
AR_391,3,No - No controlled storage
AR_391,4,Not Applicable - No AI models
AR_392,1,Yes - Testing in isolated sandboxes
AR_392,2,Partial - Testing without full isolation
AR_392,3,No - No sandbox testing
AR_392,4,Not Applicable - No adversarial testing
AR_393,1,Yes - Comprehensive patching process
AR_393,2,Partial - Patching partially implemented
AR_393,3,No - No patch management
AR_393,4,Not Applicable - No AI components
AR_394,1,Yes - Prompt protection with testing
AR_394,2,Partial - Protection without injection testing
AR_394,3,No - No prompt protection
AR_394,4,Not Applicable - No system prompts
AR_395,1,Yes - Hardware risks mitigated
AR_395,2,Partial - Risks assessed not mitigated
AR_395,3,No - No hardware risk evaluation
AR_395,4,Not Applicable - No AI workloads
AR_396,1,Yes - Data persistence controlled
AR_396,2,Partial - Controls partially implemented
AR_396,3,No - No persistence controls
AR_396,4,Not Applicable - No sensitive artifacts
AR_397,1,Yes - Comprehensive API protections
AR_397,2,Partial - Basic API security
AR_397,3,No - No API protections
AR_397,4,Not Applicable - No AI APIs
AR_398,1,Yes - Lifecycle management with scanning
AR_398,2,Partial - Management without auto scanning
AR_398,3,No - No lifecycle management
AR_398,4,Not Applicable - No AI endpoints
AR_399,1,Yes - Runtime hash validation enforced
AR_399,2,Partial - Validation partially implemented
AR_399,3,No - No hash validation
AR_399,4,Not Applicable - No training pipelines
AR_400,1,Yes - Abuse prevention controls enforced
AR_400,2,Partial - Controls partially implemented
AR_400,3,No - No abuse controls
AR_400,4,Not Applicable - No AI channels
AR_401,1,Yes - Staff usage controls enforced
AR_401,2,Partial - Policies without technical controls
AR_401,3,No - No usage restrictions
AR_401,4,Not Applicable - No AI tools
AR_402,1,Yes - CASB/SWG blocks unsanctioned AI
AR_402,2,Partial - CASB without AI heuristics
AR_402,3,No - No CASB/SWG controls
AR_402,4,Not Applicable - No cloud access
AR_403,1,Yes - Comprehensive user training provided
AR_403,2,Partial - Training without challenge guidance
AR_403,3,No - No user training
AR_403,4,Not Applicable - No AI users
AR_404,1,Yes - AI strategy linked to HR budgets
AR_404,2,Partial - Informal workforce planning
AR_404,3,No - No workforce linkage
AR_404,4,Not Applicable - No workforce impact
AR_405,1,Yes - Content controls with monitoring
AR_405,2,Partial - Controls partially implemented
AR_405,3,No - No content controls
AR_405,4,Not Applicable - No public content AI
AR_406,1,Yes - Skill preservation guardrails implemented
AR_406,2,Partial - Guardrails partially implemented
AR_406,3,No - No skill preservation approach
AR_406,4,Not Applicable - No AI-assisted work
AR_407,1,Yes - Stability assessed with contingency
AR_407,2,Partial - Assessment without contingency
AR_407,3,No - No stability assessment
AR_407,4,Not Applicable - No critical AI vendors
AR_408,1,Yes - Data custody mapped
AR_408,2,Partial - Custody partially tracked
AR_408,3,No - No custody mapping
AR_408,4,Not Applicable - No AI vendors
AR_409,1,Yes - Human accountability assigned
AR_409,2,Partial - Accountability partially defined
AR_409,3,No - No accountability assignment
AR_409,4,Not Applicable - No AI decisions
AR_410,1,Yes - Information barriers integrated
AR_410,2,Partial - Barriers partially enforced
AR_410,3,No - No barrier integration
AR_410,4,Not Applicable - No conflict controls
AR_411,1,Yes - Privacy mechanisms applied
AR_411,2,Partial - Basic anonymization only
AR_411,3,No - No privacy mechanisms
AR_411,4,Not Applicable - No HR data training
AR_412,1,Low (0-33%)
AR_412,2,Moderate (34-66%)
AR_412,3,High (67-100%)
AR_412,4,Not Applicable
AR_413,1,Yes - Explanations with liability protection
AR_413,2,Partial - Explanations without liability clarity
AR_413,3,No - No explanation capability
AR_413,4,Not Applicable - No AI decisions
AR_414,1,Yes - Demographic testing with remediation
AR_414,2,Partial - Testing without remediation
AR_414,3,No - No demographic testing
AR_414,4,Not Applicable - No high-impact models
AR_415,1,Yes - Systematic testing with escalation
AR_415,2,Partial - Testing without escalation paths
AR_415,3,No - No systematic testing
AR_415,4,Not Applicable - No high-impact models
AR_416,1,Yes - Real-time MNPI scanning enforced
AR_416,2,Partial - Periodic scanning only
AR_416,3,No - No MNPI scanning
AR_416,4,Not Applicable - No financial personnel
AR_417,1,Low (0-33%)
AR_417,2,Moderate (34-66%)
AR_417,3,High (67-100%)
AR_417,4,Not Applicable
AR_418,1,Yes - Board approval with reporting
AR_418,2,Partial - Approval without regular reporting
AR_418,3,No - No Board approval
AR_418,4,Not Applicable - No AI strategy
AR_419,1,Yes - Compensation tied to safety
AR_419,2,Partial - Informal safety incentives
AR_419,3,No - No safety linkage
AR_419,4,Not Applicable - No AI executives
AR_420,1,Yes - Approval with contractual protections
AR_420,2,Partial - Approval without contracts
AR_420,3,No - No training governance
AR_420,4,Not Applicable - No model training
AR_421,1,Yes - Automated forensic snapshots
AR_421,2,Partial - Manual evidence collection
AR_421,3,No - No forensic snapshots
AR_421,4,Not Applicable - No critical incidents
AR_422,1,Yes - Independent multi-perspective investigations
AR_422,2,Partial - Limited investigation scope
AR_422,3,No - No robotics investigations
AR_422,4,Not Applicable - No robotics systems
AR_423,1,Low (0-33%)
AR_423,2,Moderate (34-66%)
AR_423,3,High (67-100%)
AR_423,4,Not Applicable
AR_424,1,Yes - Responsibilities in legal instruments
AR_424,2,Partial - Informal responsibility agreements
AR_424,3,No - No legal documentation
AR_424,4,Not Applicable - No shared responsibilities
AR_425,1,Yes - Supplier assessment process enforced
AR_425,2,Partial - Process partially implemented
AR_425,3,No - No supplier assessment
AR_425,4,Not Applicable - No AI suppliers
AR_426,1,Yes - Governed supplier inventory maintained
AR_426,2,Partial - Inventory without full obligations
AR_426,3,No - No supplier inventory
AR_426,4,Not Applicable - No AI suppliers
AR_427,1,1-2 (Low/Limited)
AR_427,2,3 (Moderate)
AR_427,3,4-5 (High/Strong)
AR_427,4,Not Applicable
AR_428,1,Low (0-33%)
AR_428,2,Moderate (34-66%)
AR_428,3,High (67-100%)
AR_428,4,Not Applicable
AR_429,1,Yes - Subprocessor disclosure required
AR_429,2,Partial - Disclosure partially enforced
AR_429,3,No - No subprocessor requirements
AR_429,4,Not Applicable - No AI suppliers
AR_430,1,Yes - Change notification required
AR_430,2,Partial - Notification partially enforced
AR_430,3,No - No change notification
AR_430,4,Not Applicable - No AI suppliers
AR_431,1,Yes - Switching costs formally quantified
AR_431,2,Partial - Costs informally considered
AR_431,3,No - No cost quantification
AR_431,4,Not Applicable - No fallback strategy
AR_432,1,Yes - Concentration risk assessed
AR_432,2,Partial - Risk identified not treated
AR_432,3,No - No concentration assessment
AR_432,4,Not Applicable - No supplier dependencies
AR_433,1,1-2 (Low/Limited)
AR_433,2,3 (Moderate)
AR_433,3,4-5 (High/Strong)
AR_433,4,Not Applicable
AR_434,1,Yes - Disclosures proactively provided
AR_434,2,Partial - Disclosures partially updated
AR_434,3,No - No customer disclosures
AR_434,4,Not Applicable - No customer-facing AI
AR_435,1,Yes - Concern mechanism with human review
AR_435,2,Partial - Mechanism without human review
AR_435,3,No - No concern mechanism
AR_435,4,Not Applicable - No customer-facing AI
AR_436,1,1-2 (Low/Limited)
AR_436,2,3 (Moderate)
AR_436,3,4-5 (High/Strong)
AR_436,4,Not Applicable
AR_437,1,Yes - Over 90% assessed
AR_437,2,Partial - 50-90% assessed
AR_437,3,No - Under 50% assessed
AR_437,4,Not Applicable - No AI suppliers
AR_438,1,Yes - Over 90% reviewed
AR_438,2,Partial - 50-90% reviewed
AR_438,3,No - Under 50% reviewed
AR_438,4,Not Applicable - No customer-facing AI
AR_439,1,Yes - Comprehensive tracking and resolution
AR_439,2,Partial - Limited tracking
AR_439,3,No - No tracking
AR_439,4,Not Applicable - No customer interactions
AR_440,1,Yes - Continuous vendor monitoring
AR_440,2,Partial - Periodic vendor reviews
AR_440,3,No - No vendor monitoring
AR_440,4,Not Applicable - No AI vendors
AR_441,1,Yes - Strong governance state
AR_441,2,Partial - Acceptable with gaps
AR_441,3,No - Weak governance state
AR_441,4,Not Applicable - No relationships
AR_442,1,Yes - Comprehensive agent inventory
AR_442,2,Partial - Partial agent inventory
AR_442,3,No - No agent inventory
AR_442,4,Not Applicable - No AI agents
AR_443,1,Yes - Agents classified by deployment
AR_443,2,Partial - Partial classification
AR_443,3,No - No deployment classification
AR_443,4,Not Applicable - No AI agents
AR_444,1,Yes - Owners assigned to all agents
AR_444,2,Partial - Owners partially assigned
AR_444,3,No - No owner assignments
AR_444,4,Not Applicable - No AI agents
AR_445,1,Yes - Access fully mapped
AR_445,2,Partial - Access partially mapped
AR_445,3,No - No access mapping
AR_445,4,Not Applicable - No production agents
AR_446,1,Yes - Autonomy levels categorized
AR_446,2,Partial - Partial categorization
AR_446,3,No - No autonomy categorization
AR_446,4,Not Applicable - No AI agents
AR_447,1,Yes - Platform scope identified
AR_447,2,Partial - Partial scope tracking
AR_447,3,No - No platform tracking
AR_447,4,Not Applicable - No AI agents
AR_448,1,Yes - Data sensitivity linked
AR_448,2,Partial - Partial sensitivity linking
AR_448,3,No - No sensitivity linking
AR_448,4,Not Applicable - No AI agents
AR_449,1,Yes - Purpose and scope defined
AR_449,2,Partial - Purpose partially defined
AR_449,3,No - No purpose definition
AR_449,4,Not Applicable - No AI agents
AR_450,1,Yes - Agent sources distinguished
AR_450,2,Partial - Partial source tracking
AR_450,3,No - No source distinction
AR_450,4,Not Applicable - No AI agents
AR_451,1,Yes - Platform list maintained
AR_451,2,Partial - Incomplete platform list
AR_451,3,No - No platform list
AR_451,4,Not Applicable - No AI agents
AR_452,1,1-2 (Low/Limited)
AR_452,2,3 (Moderate)
AR_452,3,4-5 (High/Strong)
AR_452,4,Not Applicable
AR_453,1,Yes - Risk-based restrictions enforced
AR_453,2,Partial - Restrictions partially enforced
AR_453,3,No - No risk restrictions
AR_453,4,Not Applicable - No AI agents
AR_454,1,Yes - Unsanctioned agents prohibited
AR_454,2,Partial - Policy without enforcement
AR_454,3,No - No deployment restrictions
AR_454,4,Not Applicable - No AI agents
AR_455,1,Yes - Approved credentials required
AR_455,2,Partial - Credentials partially managed
AR_455,3,No - No credential requirements
AR_455,4,Not Applicable - No production agents
AR_456,1,Yes - Least privilege enforced
AR_456,2,Partial - Least privilege partially enforced
AR_456,3,No - No privilege restrictions
AR_456,4,Not Applicable - No AI agents
AR_457,1,Yes - JIT permissions enforced
AR_457,2,Partial - JIT partially implemented
AR_457,3,No - No JIT permissions
AR_457,4,Not Applicable - No sensitive agent access
AR_458,1,Yes - Tamper-evident logging enforced
AR_458,2,Partial - Basic logging only
AR_458,3,No - No agent logging
AR_458,4,Not Applicable - No production agents
AR_459,1,Yes - Adequate log retention enforced
AR_459,2,Partial - Limited log retention
AR_459,3,No - No log retention
AR_459,4,Not Applicable - No agent logs
AR_460,1,Yes - Continuous behavioral monitoring
AR_460,2,Partial - Periodic monitoring only
AR_460,3,No - No behavioral monitoring
AR_460,4,Not Applicable - No production agents
AR_461,1,Yes - Auto blocking enforced
AR_461,2,Partial - Manual review required
AR_461,3,No - No auto blocking
AR_461,4,Not Applicable - No policy enforcement
