QID,Question_Group
AR_255,"Question Group 013: Governing AI training pipelines to ensure cryptographic provenance, validate synthetic data, and manage schema drift."
AR_256,"Question Group 013: Governing AI training pipelines to ensure cryptographic provenance, validate synthetic data, and manage schema drift."
AR_257,"Question Group 013: Governing AI training pipelines to ensure cryptographic provenance, validate synthetic data, and manage schema drift."
AR_258,"Question Group 013: Governing AI training pipelines to ensure cryptographic provenance, validate synthetic data, and manage schema drift."
AR_259,"Question Group 013: Governing AI training pipelines to ensure cryptographic provenance, validate synthetic data, and manage schema drift."
AR_260,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_261,"Question Group 017: Conducting red-teaming, adversarial stress-testing (RAG poisoning, model inversion/privacy attacks), and data poisoning defense."
AR_262,"Question Group 013: Governing AI training pipelines to ensure cryptographic provenance, validate synthetic data, and manage schema drift."
AR_263,"Question Group 018: Executing formal end-of-life decommissioning procedures for AI systems, including downstream dependency mapping, secure data disposal, and API endpoint revocation."
AR_264,"Question Group 020: Scanning for, restricting, and remediating unauthorized or ""shadow"" AI tools."
AR_265,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_266,"Question Group 007: Architecting secure MLOps pipelines, enforcing automated lifecycle stage-gates, and executing rigorous IT change management and release validation protocols."
AR_267,"Question Group 011: Conducting multi-jurisdictional regulatory horizon scanning, mapping cross-border legal obligations, and determining domain-specific compliance classifications (e.g., Medical Devices)."
AR_268,"Question Group 050: Architecting technical privacy controls, including pre-ingestion PII redaction buffers, data minimization, and geofencing."
AR_269,"Question Group 021: Managing workforce competence, establishing quality assurance standards, and evaluating human/system disagreements for Human-in-the-Loop (HITL) and RLHF annotation operations."
AR_270,"Question Group 013: Governing AI training pipelines to ensure cryptographic provenance, validate synthetic data, and manage schema drift."
AR_271,"Question Group 019: Governing data privacy policies, explicit user consent, and the execution of Data Subject Rights (DSR)."
AR_272,"Question Group 019: Governing data privacy policies, explicit user consent, and the execution of Data Subject Rights (DSR)."
AR_273,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_274,"Question Group 013: Governing AI training pipelines to ensure cryptographic provenance, validate synthetic data, and manage schema drift."
AR_275,"Question Group 016: Engineering and validating GenAI prompts, RAG corpora, runtime guardrails, and indirect prompt injection defenses."
AR_276,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_277,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_278,"Question Group 024: Drafting, technically enforcing, and actively auditing internal Acceptable Use Policies (AUP) to prevent misuse or evidence fabrication."
AR_279,"Question Group 023: Governing AI intellectual property (IP) rights, including training data licensing, output ownership, open-source code compliance, and maintaining foundation model registries."
AR_280,"Question Group 011: Conducting multi-jurisdictional regulatory horizon scanning, mapping cross-border legal obligations, and determining domain-specific compliance classifications (e.g., Medical Devices)."
AR_281,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_282,"Question Group 010: Operating formal incident intake channels and systematically analyzing user feedback, adverse impact reports, and complaints over time to continuously update risk baselines."
AR_283,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_284,"Question Group 022: Executing AI software incident playbooks, severity escalations, and mandatory regulatory reporting."
AR_285,"Question Group 022: Executing AI software incident playbooks, severity escalations, and mandatory regulatory reporting."
AR_286,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_287,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_288,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_289,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_290,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_291,"Question Group 010: Operating formal incident intake channels and systematically analyzing user feedback, adverse impact reports, and complaints over time to continuously update risk baselines."
AR_292,"Question Group 022: Executing AI software incident playbooks, severity escalations, and mandatory regulatory reporting."
AR_293,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_294,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_295,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_296,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_297,"Question Group 025: Defining, integrating, and measuring core Responsible AI (RAI) principles, establishing ethical use frameworks, and tracking quantitative indicators across enterprise operations."
AR_298,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_299,"Question Group 024: Drafting, technically enforcing, and actively auditing internal Acceptable Use Policies (AUP) to prevent misuse or evidence fabrication."
AR_300,"Question Group 025: Defining, integrating, and measuring core Responsible AI (RAI) principles, establishing ethical use frameworks, and tracking quantitative indicators across enterprise operations."
AR_301,"Question Group 005: Defining formal intended use cases, establishing out-of-scope boundaries, and executing tiered, multidimensional AI Impact Assessments (AIIA) across the lifecycle."
AR_302,"Question Group 024: Drafting, technically enforcing, and actively auditing internal Acceptable Use Policies (AUP) to prevent misuse or evidence fabrication."
AR_303,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_304,"Question Group 024: Drafting, technically enforcing, and actively auditing internal Acceptable Use Policies (AUP) to prevent misuse or evidence fabrication."
AR_305,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_306,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_307,"Question Group 020: Scanning for, restricting, and remediating unauthorized or ""shadow"" AI tools."
AR_308,"Question Group 026: Architecting, governing, and assessing complex multi-agent architectures, model chaining dependencies, and autonomous systems-of-systems pipelines."
AR_309,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_310,"Question Group 005: Defining formal intended use cases, establishing out-of-scope boundaries, and executing tiered, multidimensional AI Impact Assessments (AIIA) across the lifecycle."
AR_311,"Question Group 024: Drafting, technically enforcing, and actively auditing internal Acceptable Use Policies (AUP) to prevent misuse or evidence fabrication."
AR_312,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_313,"Question Group 025: Defining, integrating, and measuring core Responsible AI (RAI) principles, establishing ethical use frameworks, and tracking quantitative indicators across enterprise operations."
AR_314,"Question Group 024: Drafting, technically enforcing, and actively auditing internal Acceptable Use Policies (AUP) to prevent misuse or evidence fabrication."
AR_315,"Question Group 024: Drafting, technically enforcing, and actively auditing internal Acceptable Use Policies (AUP) to prevent misuse or evidence fabrication."
AR_316,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_317,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_318,"Question Group 051: Auditing enterprise datasets to identify representational bias, prevent data leakage, and mitigate recursive model collapse."
AR_319,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_320,"Question Group 051: Auditing enterprise datasets to identify representational bias, prevent data leakage, and mitigate recursive model collapse."
AR_321,"Question Group 027: Governing AI-assisted developer tools (Copilots) to enforce secure coding standards, manage API secrets, and prevent the ingestion of hallucinated or unsafe code libraries."
AR_322,"Question Group 027: Governing AI-assisted developer tools (Copilots) to enforce secure coding standards, manage API secrets, and prevent the ingestion of hallucinated or unsafe code libraries."
AR_323,"Question Group 007: Architecting secure MLOps pipelines, enforcing automated lifecycle stage-gates, and executing rigorous IT change management and release validation protocols."
AR_324,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_325,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_326,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_327,"Question Group 029: Implementing fraud detection, bot mitigation, and cybersecurity controls against external AI threats (deepfakes, synthetic identities)."
AR_328,"Question Group 016: Engineering and validating GenAI prompts, RAG corpora, runtime guardrails, and indirect prompt injection defenses."
AR_329,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_330,"Question Group 016: Engineering and validating GenAI prompts, RAG corpora, runtime guardrails, and indirect prompt injection defenses."
AR_331,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_332,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_333,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_334,"Question Group 017: Conducting red-teaming, adversarial stress-testing (RAG poisoning, model inversion/privacy attacks), and data poisoning defense."
AR_335,"Question Group 051: Auditing enterprise datasets to identify representational bias, prevent data leakage, and mitigate recursive model collapse."
AR_336,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_337,"Question Group 017: Conducting red-teaming, adversarial stress-testing (RAG poisoning, model inversion/privacy attacks), and data poisoning defense."
AR_338,"Question Group 049: Governing physical and logical system accessibility, including WCAG compliance for AI interfaces and physical kiosks."
AR_339,"Question Group 030: Governing the use of AI for internal workforce management, including employee productivity scoring, workplace monitoring safeguards, proportionality, and appeal mechanisms."
AR_340,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_341,"Question Group 024: Drafting, technically enforcing, and actively auditing internal Acceptable Use Policies (AUP) to prevent misuse or evidence fabrication."
AR_342,"Question Group 029: Implementing fraud detection, bot mitigation, and cybersecurity controls against external AI threats (deepfakes, synthetic identities)."
AR_343,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_344,"Question Group 029: Implementing fraud detection, bot mitigation, and cybersecurity controls against external AI threats (deepfakes, synthetic identities)."
AR_345,"Question Group 029: Implementing fraud detection, bot mitigation, and cybersecurity controls against external AI threats (deepfakes, synthetic identities)."
AR_346,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_347,"Question Group 031: Executing formal cost-benefit evaluations, financial ROI modeling, and risk-adjusted efficiency analyses prior to material AI procurement or strategic capital investment."
AR_348,"Question Group 032: Designing workforce transition programs, preserving core human skills, and managing retraining for roles augmented or displaced by AI."
AR_349,"Question Group 030: Governing the use of AI for internal workforce management, including employee productivity scoring, workplace monitoring safeguards, proportionality, and appeal mechanisms."
AR_350,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_351,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_352,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_353,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_354,"Question Group 010: Operating formal incident intake channels and systematically analyzing user feedback, adverse impact reports, and complaints over time to continuously update risk baselines."
AR_355,"Question Group 022: Executing AI software incident playbooks, severity escalations, and mandatory regulatory reporting."
AR_356,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_357,"Question Group 023: Governing AI intellectual property (IP) rights, including training data licensing, output ownership, open-source code compliance, and maintaining foundation model registries."
AR_358,"Question Group 023: Governing AI intellectual property (IP) rights, including training data licensing, output ownership, open-source code compliance, and maintaining foundation model registries."
AR_359,"Question Group 050: Architecting technical privacy controls, including pre-ingestion PII redaction buffers, data minimization, and geofencing."
AR_360,"Question Group 023: Governing AI intellectual property (IP) rights, including training data licensing, output ownership, open-source code compliance, and maintaining foundation model registries."
AR_361,"Question Group 011: Conducting multi-jurisdictional regulatory horizon scanning, mapping cross-border legal obligations, and determining domain-specific compliance classifications (e.g., Medical Devices)."
AR_362,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_363,"Question Group 011: Conducting multi-jurisdictional regulatory horizon scanning, mapping cross-border legal obligations, and determining domain-specific compliance classifications (e.g., Medical Devices)."
AR_364,"Question Group 011: Conducting multi-jurisdictional regulatory horizon scanning, mapping cross-border legal obligations, and determining domain-specific compliance classifications (e.g., Medical Devices)."
AR_365,"Question Group 021: Managing workforce competence, establishing quality assurance standards, and evaluating human/system disagreements for Human-in-the-Loop (HITL) and RLHF annotation operations."
AR_366,"Question Group 016: Engineering and validating GenAI prompts, RAG corpora, runtime guardrails, and indirect prompt injection defenses."
AR_367,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_368,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_369,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_370,"Question Group 051: Auditing enterprise datasets to identify representational bias, prevent data leakage, and mitigate recursive model collapse."
AR_371,"Question Group 027: Governing AI-assisted developer tools (Copilots) to enforce secure coding standards, manage API secrets, and prevent the ingestion of hallucinated or unsafe code libraries."
AR_372,"Question Group 016: Engineering and validating GenAI prompts, RAG corpora, runtime guardrails, and indirect prompt injection defenses."
AR_373,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_374,"Question Group 016: Engineering and validating GenAI prompts, RAG corpora, runtime guardrails, and indirect prompt injection defenses."
AR_375,"Question Group 002: Provisioning and monitoring AI compute infrastructure to enforce SLA latency, ESG sustainability, FinOps limits, and BCDR resilience."
AR_376,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_377,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_378,"Question Group 006: Quantifying residual AI risk, maintaining dynamic risk dashboards, and formally integrating outcomes into Enterprise Risk Management (ERM) registers and corporate liability insurance."
AR_379,"Question Group 017: Conducting red-teaming, adversarial stress-testing (RAG poisoning, model inversion/privacy attacks), and data poisoning defense."
AR_380,"Question Group 019: Governing data privacy policies, explicit user consent, and the execution of Data Subject Rights (DSR)."
AR_381,"Question Group 030: Governing the use of AI for internal workforce management, including employee productivity scoring, workplace monitoring safeguards, proportionality, and appeal mechanisms."
AR_382,"Question Group 050: Architecting technical privacy controls, including pre-ingestion PII redaction buffers, data minimization, and geofencing."
AR_383,"Question Group 049: Governing physical and logical system accessibility, including WCAG compliance for AI interfaces and physical kiosks."
AR_384,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_385,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_386,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_387,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_388,"Question Group 006: Quantifying residual AI risk, maintaining dynamic risk dashboards, and formally integrating outcomes into Enterprise Risk Management (ERM) registers and corporate liability insurance."
AR_389,"Question Group 006: Quantifying residual AI risk, maintaining dynamic risk dashboards, and formally integrating outcomes into Enterprise Risk Management (ERM) registers and corporate liability insurance."
AR_390,"Question Group 016: Engineering and validating GenAI prompts, RAG corpora, runtime guardrails, and indirect prompt injection defenses."
AR_391,"Question Group 008: Governing the master AI system inventory, compliance records, version histories, and regulated record retention."
AR_392,"Question Group 017: Conducting red-teaming, adversarial stress-testing (RAG poisoning, model inversion/privacy attacks), and data poisoning defense."
AR_393,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_394,"Question Group 016: Engineering and validating GenAI prompts, RAG corpora, runtime guardrails, and indirect prompt injection defenses."
AR_395,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_396,"Question Group 041: Hardening physical AI compute hardware, verifying GPU/TPU cryptographic firmware signatures at boot, and mitigating physical side-channel data extraction attacks (e.g., power-gating/GATEBLEED)."
AR_397,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_398,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_399,"Question Group 017: Conducting red-teaming, adversarial stress-testing (RAG poisoning, model inversion/privacy attacks), and data poisoning defense."
AR_400,"Question Group 029: Implementing fraud detection, bot mitigation, and cybersecurity controls against external AI threats (deepfakes, synthetic identities)."
AR_401,"Question Group 024: Drafting, technically enforcing, and actively auditing internal Acceptable Use Policies (AUP) to prevent misuse or evidence fabrication."
AR_402,"Question Group 020: Scanning for, restricting, and remediating unauthorized or ""shadow"" AI tools."
AR_403,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_404,"Question Group 032: Designing workforce transition programs, preserving core human skills, and managing retraining for roles augmented or displaced by AI."
AR_405,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_406,"Question Group 032: Designing workforce transition programs, preserving core human skills, and managing retraining for roles augmented or displaced by AI."
AR_407,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_408,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_409,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_410,"Question Group 024: Drafting, technically enforcing, and actively auditing internal Acceptable Use Policies (AUP) to prevent misuse or evidence fabrication."
AR_411,"Question Group 019: Governing data privacy policies, explicit user consent, and the execution of Data Subject Rights (DSR)."
AR_412,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_413,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_414,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_415,"Question Group 024: Drafting, technically enforcing, and actively auditing internal Acceptable Use Policies (AUP) to prevent misuse or evidence fabrication."
AR_416,"Question Group 030: Governing the use of AI for internal workforce management, including employee productivity scoring, workplace monitoring safeguards, proportionality, and appeal mechanisms."
AR_417,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_418,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_419,"Question Group 003: Structuring the AI organization, governing personnel, RACI documentation, and chartering Board-level oversight."
AR_420,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_421,"Question Group 022: Executing AI software incident playbooks, severity escalations, and mandatory regulatory reporting."
AR_422,"Question Group 048: Governing safety investigations, hardware telemetry, and physical risk mitigation for embodied AI and robotics."
AR_423,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_424,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_425,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_426,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_427,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_428,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_429,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_430,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_431,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_432,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_433,"Question Group 009: Facilitating direct, qualitative consultation and engagement with external stakeholders, community representatives, and vulnerable groups affected by AI deployments."
AR_434,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_435,"Question Group 010: Operating formal incident intake channels and systematically analyzing user feedback, adverse impact reports, and complaints over time to continuously update risk baselines."
AR_436,"Question Group 010: Operating formal incident intake channels and systematically analyzing user feedback, adverse impact reports, and complaints over time to continuously update risk baselines."
AR_437,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_438,"Question Group 012: Authoring public-facing transparency notices, UX safeguards, and plain-language model limitations."
AR_439,"Question Group 010: Operating formal incident intake channels and systematically analyzing user feedback, adverse impact reports, and complaints over time to continuously update risk baselines."
AR_440,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_441,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_442,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_443,"Question Group 026: Architecting, governing, and assessing complex multi-agent architectures, model chaining dependencies, and autonomous systems-of-systems pipelines."
AR_444,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_445,"Question Group 026: Architecting, governing, and assessing complex multi-agent architectures, model chaining dependencies, and autonomous systems-of-systems pipelines."
AR_446,"Question Group 026: Architecting, governing, and assessing complex multi-agent architectures, model chaining dependencies, and autonomous systems-of-systems pipelines."
AR_447,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_448,"Question Group 019: Governing data privacy policies, explicit user consent, and the execution of Data Subject Rights (DSR)."
AR_449,"Question Group 005: Defining formal intended use cases, establishing out-of-scope boundaries, and executing tiered, multidimensional AI Impact Assessments (AIIA) across the lifecycle."
AR_450,"Question Group 026: Architecting, governing, and assessing complex multi-agent architectures, model chaining dependencies, and autonomous systems-of-systems pipelines."
AR_451,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_452,"Question Group 047: Designing and mandating enterprise-wide AI literacy, policy awareness training, and role-specific competency assessments for internal employees and third-party contractors."
AR_453,"Question Group 020: Scanning for, restricting, and remediating unauthorized or ""shadow"" AI tools."
AR_454,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_455,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_456,"Question Group 026: Architecting, governing, and assessing complex multi-agent architectures, model chaining dependencies, and autonomous systems-of-systems pipelines."
AR_457,"Question Group 026: Architecting, governing, and assessing complex multi-agent architectures, model chaining dependencies, and autonomous systems-of-systems pipelines."
AR_458,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_459,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_460,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_461,"Question Group 026: Architecting, governing, and assessing complex multi-agent architectures, model chaining dependencies, and autonomous systems-of-systems pipelines."
AR_462,"Question Group 010: Operating formal incident intake channels and systematically analyzing user feedback, adverse impact reports, and complaints over time to continuously update risk baselines."
AR_463,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_464,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_465,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_466,"Question Group 017: Conducting red-teaming, adversarial stress-testing (RAG poisoning, model inversion/privacy attacks), and data poisoning defense."
AR_467,"Question Group 045: Executing foundational IT Operations (ITOps), enterprise incident management (war-rooms), configuration drift governance, and continuous operational maturity programs."
AR_468,"Question Group 026: Architecting, governing, and assessing complex multi-agent architectures, model chaining dependencies, and autonomous systems-of-systems pipelines."
AR_469,"Question Group 019: Governing data privacy policies, explicit user consent, and the execution of Data Subject Rights (DSR)."
AR_470,"Question Group 019: Governing data privacy policies, explicit user consent, and the execution of Data Subject Rights (DSR)."
AR_471,"Question Group 001: Governing Third-Party Risk Management (TPRM) for AI vendors, including concentration thresholds, contractual SLAs, sub-processor mapping, and exit strategies."
AR_472,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
AR_473,"Question Group 026: Architecting, governing, and assessing complex multi-agent architectures, model chaining dependencies, and autonomous systems-of-systems pipelines."
AR_474,"Question Group 028: Hardening AI infrastructure, APIs, Identity and Access Management (IAM), and container orchestrations using Infrastructure-as-Code (IaC), secret management, and zero-day patching."
AR_475,"Question Group 010: Operating formal incident intake channels and systematically analyzing user feedback, adverse impact reports, and complaints over time to continuously update risk baselines."
AR_476,"Question Group 024: Drafting, technically enforcing, and actively auditing internal Acceptable Use Policies (AUP) to prevent misuse or evidence fabrication."
AR_477,"Question Group 021: Managing workforce competence, establishing quality assurance standards, and evaluating human/system disagreements for Human-in-the-Loop (HITL) and RLHF annotation operations."
AR_478,"Question Group 004: Designing technical safeguards, advisory-gating, human override protocols (HOVER), and fail-safe architectures for high-stakes actions (e.g., financial controls, legal drafting)."
